Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,Wilderness_Area,Cover_Type
2929.0,20.0,17.0,30.0,7.0,5576.0,207.0,203.0,129.0,4175.0,T24,A1,2.0
3064.0,168.0,14.0,234.0,,5914.0,231.0,245.0,142.0,2658.0,T29,A1,1.0
2824.0,49.0,17.0,67.0,22.0,2033.0,225.0,202.0,105.0,1451.0,T33,A3,2.0
3242.0,95.0,3.0,30.0,-2.0,5579.0,224.0,235.0,147.0,741.0,T38,A1,2.0
3047.0,184.0,13.0,323.0,52.0,1926.0,223.0,249.0,156.0,3863.0,T23,A1,1.0
3014.0,350.0,4.0,95.0,-4.0,780.0,212.0,233.0,158.0,1530.0,T23,A2,1.0
2876.0,151.0,19.0,150.0,-10.0,,240.0,236.0,117.0,1415.0,T13,A3,2.0
2854.0,123.0,35.0,67.0,32.0,2190.0,253.0,188.0,30.0,1575.0,T13,A3,2.0
3064.0,144.0,6.0,514.0,60.0,5758.0,229.0,239.0,143.0,4079.0,T29,A1,1.0
3211.0,85.0,8.0,426.0,56.0,4499.0,232.0,226.0,126.0,2630.0,T29,A1,1.0
3168.0,119.0,7.0,655.0,-16.0,607.0,233.0,234.0,133.0,973.0,T32,A2,2.0
3226.0,162.0,18.0,85.0,13.0,1275.0,235.0,242.0,131.0,2612.0,T22,A1,1.0
2991.0,67.0,6.0,474.0,72.0,4952.0,227.0,228.0,135.0,5398.0,T12,A1,2.0
2579.0,54.0,17.0,210.0,-24.0,1198.0,228.0,203.0,103.0,390.0,T22,A1,1.0
3237.0,328.0,10.0,742.0,46.0,1966.0,195.0,228.0,172.0,514.0,T22,A3,1.0
2757.0,147.0,38.0,90.0,35.0,1342.0,239.0,205.0,58.0,1781.0,T13,A3,2.0
3072.0,252.0,6.0,277.0,26.0,5693.0,207.0,244.0,176.0,1974.0,T23,A1,2.0
3228.0,189.0,12.0,350.0,43.0,2930.0,220.0,249.0,160.0,932.0,T32,A3,2.0
3262.0,358.0,6.0,837.0,-12.0,2089.0,211.0,229.0,156.0,661.0,T22,A3,1.0
2995.0,244.0,16.0,582.0,89.0,5734.0,186.0,251.0,201.0,4795.0,T29,A1,2.0
2782.0,17.0,14.0,277.0,10.0,2285.0,208.0,209.0,136.0,3591.0,,A1,2.0
3219.0,116.0,13.0,295.0,64.0,4080.0,242.0,227.0,112.0,1316.0,T29,A1,2.0
3108.0,233.0,18.0,127.0,11.0,1853.0,188.0,253.0,199.0,366.0,T32,A3,2.0
2917.0,315.0,26.0,268.0,115.0,4662.0,143.0,209.0,202.0,361.0,T29,A1,2.0
3425.0,204.0,9.0,446.0,30.0,2724.0,215.0,249.0,168.0,1829.0,T38,A3,1.0
2812.0,69.0,4.0,67.0,10.0,2215.0,224.0,231.0,143.0,2290.0,T12,A1,2.0
2820.0,88.0,21.0,134.0,35.0,242.0,246.0,200.0,72.0,1500.0,,A1,2.0
3125.0,121.0,24.0,295.0,67.0,3340.0,252.0,212.0,73.0,560.0,T33,A3,1.0
3314.0,116.0,18.0,175.0,28.0,1200.0,248.0,220.0,93.0,1304.0,T31,A3,1.0
2961.0,327.0,25.0,127.0,51.0,1842.0,150.0,203.0,187.0,2796.0,T33,A3,2.0
3438.0,215.0,10.0,840.0,45.0,3475.0,210.0,250.0,174.0,323.0,T38,A3,1.0
3030.0,351.0,11.0,120.0,19.0,3538.0,199.0,221.0,159.0,811.0,T22,A3,1.0
3178.0,333.0,15.0,85.0,14.0,2497.0,184.0,220.0,174.0,2799.0,T24,A3,1.0
3230.0,267.0,13.0,218.0,11.0,1019.0,185.0,245.0,199.0,2431.0,T23,A3,2.0
2988.0,62.0,8.0,485.0,-1.0,3340.0,227.0,223.0,130.0,5708.0,T29,A1,1.0
3219.0,45.0,12.0,30.0,2.0,2846.0,223.0,213.0,122.0,2736.0,T29,A1,1.0
2705.0,47.0,12.0,240.0,11.0,865.0,224.0,214.0,123.0,,T23,,2.0
3036.0,17.0,8.0,60.0,8.0,960.0,214.0,223.0,146.0,1426.0,T22,A2,2.0
2786.0,71.0,12.0,371.0,31.0,1570.0,233.0,216.0,113.0,514.0,T31,A3,2.0
2816.0,13.0,24.0,376.0,59.0,918.0,189.0,184.0,124.0,,T31,A3,2.0
2986.0,270.0,35.0,509.0,296.0,2144.0,111.0,227.0,243.0,1358.0,T13,A3,2.0
3314.0,37.0,17.0,95.0,,1892.0,217.0,200.0,113.0,4837.0,T22,A2,1.0
3337.0,48.0,26.0,153.0,48.0,4504.0,220.0,174.0,73.0,702.0,T29,A1,1.0
2607.0,266.0,9.0,390.0,136.0,553.0,197.0,244.0,187.0,495.0,T2,A3,2.0
2907.0,93.0,9.0,573.0,270.0,,234.0,227.0,125.0,566.0,T13,A3,2.0
2975.0,45.0,5.0,108.0,10.0,6030.0,222.0,228.0,142.0,3339.0,T29,A1,2.0
2918.0,120.0,14.0,497.0,86.0,626.0,243.0,227.0,110.0,,T11,A3,2.0
3103.0,63.0,24.0,85.0,36.0,5085.0,233.0,183.0,70.0,1559.0,T29,A1,1.0
2637.0,45.0,1.0,30.0,,1018.0,219.0,236.0,155.0,1670.0,T33,A3,2.0
2829.0,83.0,11.0,240.0,46.0,1697.0,236.0,220.0,114.0,2083.0,T29,A1,2.0
2764.0,266.0,12.0,108.0,7.0,3000.0,189.0,245.0,196.0,2195.0,T12,A1,2.0
3251.0,319.0,14.0,153.0,44.0,4459.0,182.0,226.0,183.0,2490.0,T32,A3,1.0
3112.0,241.0,12.0,120.0,16.0,1991.0,197.0,250.0,190.0,2503.0,T32,A3,2.0
3247.0,117.0,15.0,450.0,208.0,3660.0,244.0,225.0,106.0,2135.0,T33,A3,1.0
3232.0,212.0,15.0,404.0,98.0,,205.0,253.0,180.0,4872.0,T22,A2,2.0
3070.0,123.0,22.0,150.0,16.0,,251.0,216.0,81.0,828.0,T24,A3,2.0
2911.0,268.0,11.0,182.0,27.0,1557.0,191.0,245.0,193.0,1450.0,T32,A3,2.0
3019.0,11.0,19.0,60.0,17.0,2577.0,196.0,198.0,134.0,1599.0,T33,A3,1.0
2565.0,39.0,29.0,95.0,57.0,920.0,207.0,165.0,76.0,1544.0,T33,A3,2.0
2762.0,180.0,3.0,277.0,39.0,2630.0,221.0,241.0,156.0,6733.0,T12,A1,1.0
3276.0,34.0,5.0,524.0,63.0,6156.0,219.0,228.0,146.0,735.0,T22,A1,1.0
3331.0,106.0,12.0,497.0,108.0,3191.0,240.0,226.0,114.0,2764.0,T32,,1.0
3206.0,85.0,17.0,,115.0,5333.0,242.0,210.0,92.0,1441.0,T29,A1,1.0
2855.0,219.0,12.0,30.0,2.0,4090.0,206.0,252.0,180.0,3511.0,T30,A1,1.0
3171.0,1.0,21.0,816.0,87.0,2915.0,184.0,195.0,144.0,2526.0,T24,A3,2.0
3047.0,115.0,8.0,120.0,10.0,3742.0,234.0,233.0,130.0,297.0,T23,A1,1.0
3174.0,317.0,10.0,90.0,-5.0,1900.0,195.0,232.0,177.0,1756.0,T29,A1,1.0
2913.0,56.0,27.0,60.0,18.0,,226.0,171.0,61.0,,T30,A1,2.0
2587.0,297.0,30.0,153.0,93.0,819.0,123.0,214.0,224.0,,T24,A3,2.0
3146.0,106.0,29.0,108.0,40.0,1316.0,254.0,191.0,44.0,2293.0,T30,A1,1.0
2678.0,10.0,13.0,0.0,0.0,1939.0,205.0,213.0,143.0,6803.0,T12,A1,1.0
3024.0,295.0,8.0,180.0,12.0,2348.0,198.0,238.0,180.0,1129.0,T23,A3,1.0
3263.0,26.0,12.0,85.0,6.0,1188.0,214.0,214.0,134.0,3124.0,,A2,2.0
3269.0,288.0,3.0,365.0,90.0,4702.0,211.0,239.0,166.0,3187.0,T29,A1,1.0
3376.0,268.0,8.0,779.0,190.0,967.0,199.0,243.0,184.0,633.0,T20,A2,1.0
3067.0,151.0,9.0,85.0,-5.0,6841.0,231.0,240.0,140.0,2746.0,T29,A1,2.0
3034.0,59.0,7.0,30.0,0.0,3029.0,226.0,226.0,134.0,1343.0,T23,,1.0
3007.0,120.0,9.0,0.0,0.0,2955.0,236.0,233.0,128.0,1595.0,T22,A3,1.0
3227.0,162.0,2.0,272.0,94.0,2779.0,220.0,239.0,155.0,1148.0,T31,A3,1.0
3242.0,6.0,9.0,90.0,10.0,4330.0,210.0,223.0,151.0,977.0,T39,A1,1.0
3264.0,42.0,7.0,180.0,30.0,3520.0,222.0,224.0,137.0,1848.0,T29,A1,1.0
2970.0,329.0,12.0,180.0,-10.0,3865.0,191.0,225.0,174.0,1465.0,T29,A1,2.0
2901.0,278.0,19.0,85.0,14.0,5081.0,166.0,240.0,212.0,1338.0,T29,A1,2.0
3027.0,98.0,5.0,607.0,108.0,5130.0,228.0,233.0,138.0,5939.0,T12,A1,2.0
2982.0,82.0,5.0,270.0,23.0,4883.0,227.0,231.0,138.0,4500.0,T29,A1,1.0
2842.0,149.0,31.0,201.0,101.0,1426.0,243.0,220.0,82.0,1772.0,T13,A3,2.0
2879.0,265.0,10.0,537.0,233.0,1129.0,195.0,245.0,189.0,1902.0,T33,A3,2.0
3165.0,150.0,20.0,420.0,88.0,1087.0,242.0,234.0,112.0,2161.0,T39,A1,1.0
2644.0,18.0,5.0,150.0,16.0,256.0,216.0,230.0,151.0,1583.0,T12,A1,2.0
2523.0,94.0,11.0,120.0,1.0,437.0,238.0,223.0,115.0,3274.0,T18,,2.0
3037.0,171.0,18.0,1075.0,152.0,3178.0,230.0,245.0,139.0,1498.0,T33,A3,2.0
2969.0,17.0,19.0,192.0,43.0,2002.0,201.0,197.0,128.0,830.0,T29,A1,1.0
2885.0,98.0,9.0,408.0,97.0,1440.0,235.0,228.0,124.0,1587.0,T11,A3,2.0
2894.0,334.0,9.0,466.0,9.0,,199.0,228.0,168.0,3516.0,T12,A1,2.0
3063.0,124.0,5.0,108.0,-5.0,1172.0,229.0,236.0,141.0,3210.0,T33,A3,1.0
3171.0,258.0,13.0,150.0,33.0,2680.0,187.0,247.0,198.0,644.0,T31,A3,2.0
2783.0,94.0,8.0,201.0,,1806.0,232.0,229.0,129.0,1883.0,T12,A1,1.0
2717.0,11.0,15.0,124.0,29.0,1736.0,202.0,208.0,140.0,1207.0,T29,A1,1.0
2932.0,323.0,7.0,228.0,32.0,4485.0,202.0,233.0,170.0,6126.0,T12,A1,2.0
3208.0,0.0,12.0,1026.0,187.0,4095.0,202.0,217.0,152.0,2313.0,T23,,1.0
3107.0,355.0,3.0,361.0,16.0,5272.0,215.0,234.0,157.0,1358.0,T29,A1,1.0
3182.0,145.0,8.0,90.0,13.0,1249.0,231.0,239.0,141.0,1194.0,T29,A1,2.0
3246.0,328.0,11.0,216.0,91.0,1405.0,194.0,228.0,173.0,2846.0,T30,A1,1.0
2988.0,154.0,10.0,190.0,36.0,4380.0,232.0,241.0,139.0,2069.0,T30,A1,2.0
3113.0,330.0,30.0,,32.0,1114.0,137.0,190.0,184.0,2143.0,T29,A1,1.0
3321.0,180.0,8.0,,53.0,3139.0,223.0,245.0,156.0,642.0,T38,A3,1.0
3310.0,170.0,30.0,124.0,21.0,1276.0,225.0,237.0,121.0,1104.0,,,1.0
3201.0,149.0,15.0,295.0,74.0,2192.0,238.0,238.0,126.0,3311.0,T33,A3,1.0
3138.0,8.0,2.0,,1.0,,217.0,235.0,155.0,1554.0,T23,A1,1.0
3068.0,336.0,5.0,309.0,14.0,3263.0,209.0,233.0,162.0,443.0,T22,A1,1.0
2919.0,260.0,8.0,190.0,13.0,5348.0,200.0,245.0,183.0,4963.0,T23,A1,2.0
3074.0,156.0,11.0,216.0,33.0,612.0,233.0,241.0,139.0,1442.0,T22,A3,2.0
3136.0,186.0,21.0,,153.0,3212.0,218.0,250.0,155.0,2087.0,T33,A3,2.0
3077.0,80.0,12.0,124.0,20.0,785.0,236.0,219.0,113.0,1698.0,T32,,1.0
3179.0,242.0,16.0,551.0,112.0,6041.0,187.0,251.0,200.0,1869.0,,A1,2.0
2866.0,90.0,9.0,306.0,,1831.0,235.0,225.0,121.0,2789.0,T26,A3,2.0
2855.0,113.0,29.0,30.0,7.0,2130.0,254.0,195.0,47.0,1550.0,T33,A3,2.0
2597.0,55.0,13.0,153.0,17.0,2877.0,228.0,211.0,113.0,959.0,T11,A3,2.0
2910.0,289.0,18.0,85.0,-7.0,2557.0,167.0,235.0,207.0,85.0,T32,A3,2.0
2965.0,331.0,14.0,268.0,78.0,4021.0,186.0,222.0,175.0,2520.0,T30,A1,2.0
2830.0,0.0,10.0,124.0,9.0,1025.0,206.0,222.0,154.0,1849.0,T30,A1,2.0
2576.0,66.0,5.0,330.0,6.0,2760.0,225.0,230.0,141.0,2736.0,T11,A3,1.0
3080.0,188.0,12.0,150.0,11.0,2079.0,221.0,249.0,160.0,42.0,T31,A3,1.0
2949.0,147.0,16.0,30.0,7.0,3461.0,240.0,236.0,120.0,6405.0,T29,A1,2.0
3249.0,274.0,13.0,426.0,94.0,3986.0,184.0,243.0,198.0,1641.0,T39,A3,1.0
2698.0,358.0,16.0,108.0,10.0,2213.0,193.0,208.0,151.0,2064.0,T29,A1,2.0
2683.0,68.0,3.0,0.0,0.0,67.0,222.0,234.0,148.0,,T11,A3,2.0
3120.0,103.0,9.0,108.0,8.0,3697.0,236.0,228.0,122.0,124.0,T33,A3,1.0
3226.0,160.0,17.0,300.0,39.0,2132.0,235.0,241.0,131.0,1689.0,T27,A3,1.0
2984.0,25.0,21.0,309.0,125.0,1549.0,205.0,190.0,115.0,3024.0,T24,A3,1.0
2701.0,67.0,4.0,124.0,28.0,1992.0,223.0,232.0,144.0,5332.0,T29,A1,2.0
3131.0,336.0,19.0,371.0,80.0,3703.0,173.0,210.0,174.0,1935.0,T39,A3,2.0
3051.0,146.0,9.0,42.0,10.0,576.0,233.0,239.0,138.0,1332.0,T22,A3,2.0
2744.0,204.0,3.0,511.0,-13.0,2310.0,218.0,242.0,161.0,5897.0,T12,A1,2.0
3116.0,103.0,26.0,417.0,180.0,1740.0,252.0,197.0,56.0,2837.0,T33,A3,1.0
3213.0,335.0,16.0,408.0,9.0,3853.0,183.0,218.0,173.0,1524.0,T22,A3,1.0
3261.0,111.0,11.0,451.0,,4336.0,240.0,228.0,117.0,1061.0,T29,A1,2.0
3045.0,144.0,8.0,95.0,27.0,4541.0,232.0,239.0,139.0,,T30,A1,2.0
3164.0,294.0,6.0,600.0,56.0,5731.0,202.0,239.0,176.0,1302.0,T29,A1,2.0
3145.0,340.0,9.0,510.0,99.0,5151.0,201.0,227.0,165.0,845.0,T29,A1,2.0
3588.0,60.0,19.0,953.0,176.0,2613.0,231.0,196.0,89.0,1423.0,T40,A1,1.0
2672.0,42.0,7.0,242.0,6.0,1295.0,221.0,225.0,138.0,1465.0,T30,A1,2.0
2976.0,247.0,4.0,277.0,-41.0,1187.0,212.0,242.0,168.0,466.0,T31,A3,2.0
3388.0,55.0,13.0,458.0,109.0,1943.0,228.0,211.0,113.0,1742.0,T35,A1,1.0
3016.0,280.0,14.0,551.0,40.0,5467.0,181.0,241.0,199.0,1298.0,T29,A1,2.0
3076.0,96.0,23.0,417.0,140.0,1448.0,249.0,199.0,65.0,2419.0,T33,A3,1.0
2733.0,37.0,9.0,190.0,6.0,,220.0,219.0,134.0,4998.0,T12,A1,2.0
3179.0,241.0,10.0,30.0,0.0,2898.0,202.0,248.0,184.0,1256.0,T23,A3,1.0
2997.0,41.0,23.0,234.0,21.0,1645.0,216.0,184.0,92.0,1358.0,T32,A3,1.0
2930.0,77.0,5.0,470.0,44.0,3238.0,227.0,230.0,138.0,1892.0,T23,A1,2.0
3062.0,6.0,26.0,765.0,38.0,2602.0,179.0,180.0,130.0,2281.0,T24,A3,2.0
3237.0,278.0,19.0,534.0,102.0,362.0,166.0,240.0,212.0,2294.0,T33,A3,2.0
3126.0,101.0,2.0,256.0,19.0,5537.0,223.0,236.0,148.0,752.0,T23,A1,1.0
2686.0,45.0,15.0,234.0,49.0,993.0,223.0,207.0,115.0,2985.0,,A1,2.0
2988.0,41.0,18.0,234.0,16.0,466.0,219.0,198.0,107.0,1710.0,,A1,1.0
3067.0,140.0,32.0,525.0,186.0,981.0,247.0,212.0,67.0,2781.0,T29,A1,1.0
3268.0,45.0,1.0,190.0,13.0,932.0,219.0,235.0,153.0,1937.0,T38,A1,1.0
2927.0,58.0,16.0,560.0,36.0,591.0,230.0,203.0,101.0,1704.0,T29,A1,2.0
3266.0,225.0,4.0,979.0,135.0,2088.0,214.0,243.0,166.0,,T31,A3,1.0
2771.0,37.0,16.0,270.0,139.0,1326.0,218.0,203.0,117.0,2052.0,T33,A3,2.0
2923.0,41.0,10.0,591.0,39.0,,221.0,218.0,131.0,1136.0,T32,A3,2.0
2924.0,90.0,4.0,162.0,-4.0,931.0,226.0,233.0,143.0,2221.0,T23,A1,2.0
2542.0,52.0,5.0,153.0,2.0,,223.0,228.0,141.0,95.0,T29,A1,2.0
3146.0,358.0,6.0,319.0,14.0,3479.0,210.0,228.0,156.0,3893.0,T29,A1,1.0
3448.0,32.0,12.0,743.0,212.0,1075.0,217.0,214.0,131.0,1006.0,T40,A2,1.0
3051.0,112.0,7.0,90.0,3.0,3808.0,232.0,233.0,133.0,361.0,T29,A1,1.0
3110.0,58.0,9.0,272.0,-64.0,1448.0,227.0,221.0,128.0,1307.0,T29,A1,1.0
3147.0,88.0,20.0,240.0,56.0,5189.0,246.0,202.0,77.0,1471.0,T29,,1.0
2896.0,94.0,19.0,60.0,16.0,3630.0,246.0,208.0,84.0,5073.0,T30,A1,1.0
3124.0,117.0,7.0,150.0,10.0,2269.0,233.0,233.0,132.0,283.0,T31,A3,1.0
2931.0,312.0,16.0,376.0,81.0,3104.0,174.0,226.0,192.0,1953.0,T24,A3,1.0
2757.0,197.0,21.0,67.0,13.0,2421.0,209.0,252.0,169.0,892.0,T13,A3,2.0
2924.0,73.0,24.0,201.0,,216.0,240.0,188.0,66.0,1080.0,T29,A1,2.0
3222.0,148.0,10.0,30.0,3.0,1120.0,234.0,239.0,136.0,2594.0,T23,A3,2.0
3159.0,61.0,11.0,42.0,0.0,1020.0,229.0,217.0,120.0,693.0,T23,A3,1.0
2935.0,93.0,21.0,192.0,57.0,1544.0,247.0,204.0,75.0,2707.0,T33,A3,2.0
2843.0,53.0,12.0,256.0,42.0,1361.0,227.0,213.0,118.0,2047.0,,,2.0
2929.0,293.0,14.0,120.0,22.0,3598.0,180.0,236.0,196.0,4819.0,T12,A1,2.0
3138.0,72.0,14.0,90.0,-10.0,1316.0,236.0,211.0,103.0,2536.0,T29,A1,1.0
2873.0,116.0,7.0,90.0,16.0,4022.0,233.0,233.0,133.0,6175.0,T12,A1,2.0
3099.0,114.0,18.0,170.0,38.0,1184.0,248.0,218.0,91.0,1578.0,T24,,2.0
2877.0,33.0,8.0,474.0,57.0,2208.0,219.0,223.0,140.0,,T29,A1,2.0
2759.0,61.0,19.0,67.0,8.0,1928.0,232.0,197.0,89.0,,T12,A1,2.0
3002.0,94.0,6.0,150.0,24.0,4308.0,230.0,231.0,134.0,888.0,T19,A1,1.0
2803.0,318.0,17.0,30.0,9.0,726.0,172.0,222.0,189.0,1084.0,T23,A3,1.0
3046.0,9.0,5.0,376.0,26.0,4482.0,215.0,230.0,153.0,1231.0,T29,A1,2.0
2991.0,99.0,6.0,228.0,9.0,4755.0,230.0,232.0,136.0,5089.0,T29,A1,2.0
2939.0,198.0,9.0,551.0,43.0,6003.0,218.0,248.0,165.0,5701.0,T16,A1,2.0
2693.0,340.0,18.0,120.0,37.0,771.0,179.0,211.0,169.0,2081.0,T33,A3,2.0
3340.0,110.0,7.0,323.0,7.0,1084.0,233.0,232.0,132.0,3640.0,T32,A2,1.0
3303.0,245.0,10.0,218.0,51.0,4707.0,200.0,248.0,185.0,,T32,A3,1.0
3197.0,82.0,7.0,,31.0,4030.0,230.0,228.0,130.0,1345.0,T22,A1,1.0
2694.0,41.0,10.0,408.0,12.0,1714.0,222.0,217.0,130.0,5988.0,T12,A1,2.0
3167.0,324.0,4.0,30.0,3.0,607.0,209.0,235.0,165.0,1273.0,T23,A2,1.0
2851.0,12.0,10.0,234.0,-17.0,1380.0,210.0,220.0,146.0,2837.0,,A3,2.0
3313.0,204.0,18.0,277.0,76.0,3381.0,208.0,253.0,175.0,524.0,T33,A3,1.0
2933.0,162.0,2.0,60.0,-2.0,1952.0,221.0,239.0,154.0,1725.0,T29,A1,2.0
2763.0,80.0,24.0,,12.0,1454.0,243.0,190.0,64.0,1150.0,T23,A3,1.0
2703.0,194.0,6.0,120.0,13.0,1770.0,219.0,245.0,161.0,3967.0,T12,A1,2.0
3283.0,268.0,12.0,872.0,148.0,900.0,189.0,245.0,194.0,2503.0,T32,A3,2.0
3248.0,11.0,14.0,180.0,45.0,,204.0,210.0,141.0,1275.0,T31,A3,1.0
3246.0,333.0,13.0,124.0,23.0,4373.0,191.0,223.0,172.0,2038.0,T22,A3,1.0
3084.0,39.0,20.0,870.0,24.0,1594.0,216.0,191.0,103.0,,T33,A3,1.0
2794.0,27.0,11.0,258.0,87.0,1433.0,215.0,217.0,137.0,811.0,T31,A3,2.0
2972.0,348.0,9.0,60.0,-3.0,1371.0,203.0,225.0,161.0,684.0,T32,A3,2.0
3011.0,108.0,7.0,558.0,177.0,1964.0,232.0,232.0,133.0,2870.0,T32,A3,2.0
2892.0,82.0,7.0,384.0,76.0,3645.0,230.0,228.0,132.0,3048.0,T12,A1,2.0
2857.0,3.0,5.0,537.0,108.0,2610.0,213.0,230.0,155.0,2784.0,T12,A1,2.0
2994.0,65.0,15.0,234.0,29.0,4901.0,233.0,208.0,103.0,2721.0,,A1,1.0
3209.0,53.0,5.0,424.0,26.0,5568.0,223.0,229.0,142.0,2156.0,T22,,1.0
3097.0,142.0,10.0,228.0,-8.0,674.0,235.0,238.0,132.0,1465.0,T23,A1,1.0
2494.0,277.0,24.0,182.0,61.0,408.0,147.0,236.0,224.0,85.0,T10,A4,2.0
3067.0,104.0,16.0,190.0,57.0,,245.0,218.0,97.0,2080.0,T29,,2.0
3011.0,229.0,10.0,750.0,95.0,5785.0,205.0,250.0,181.0,3776.0,,A1,2.0
3052.0,144.0,6.0,30.0,3.0,1718.0,229.0,239.0,143.0,1848.0,T23,A3,1.0
3164.0,262.0,16.0,120.0,16.0,1276.0,180.0,246.0,205.0,1308.0,T40,A2,1.0
2996.0,334.0,20.0,644.0,239.0,743.0,170.0,209.0,176.0,1482.0,,A3,2.0
3112.0,130.0,16.0,240.0,21.0,3585.0,245.0,229.0,108.0,895.0,,,2.0
3024.0,32.0,15.0,466.0,100.0,4319.0,216.0,205.0,122.0,2164.0,T29,A1,2.0
2861.0,29.0,8.0,127.0,-7.0,1401.0,217.0,222.0,140.0,2738.0,T11,A3,2.0
2859.0,242.0,8.0,,-3.0,2676.0,205.0,247.0,180.0,2408.0,T29,A1,1.0
2928.0,209.0,22.0,153.0,-3.0,966.0,198.0,254.0,183.0,661.0,T13,A3,2.0
2759.0,51.0,9.0,120.0,-1.0,1292.0,225.0,221.0,129.0,942.0,T11,A3,2.0
2967.0,283.0,17.0,210.0,33.0,3968.0,171.0,238.0,206.0,649.0,T29,A1,1.0
2882.0,4.0,4.0,323.0,59.0,2509.0,215.0,232.0,155.0,2165.0,T12,A1,2.0
3230.0,308.0,19.0,335.0,87.0,1477.0,166.0,225.0,198.0,2962.0,T39,A1,1.0
3165.0,337.0,12.0,360.0,65.0,2631.0,195.0,224.0,168.0,1590.0,T29,A1,1.0
2929.0,224.0,18.0,108.0,40.0,1994.0,194.0,254.0,192.0,1230.0,T33,A3,2.0
