Country Name,Country Code,Year,population,co2emissions,fertility,life_expectancy,internet_usage,gdp,Region,IncomeGroup
Brunei Darussalam,BRN,1960,85346.0,,6.836,56.793,,,East Asia & Pacific,High income
Bhutan,BTN,1960,221266.0,,6.704,33.465,,,South Asia,Lower middle income
Botswana,BWA,1960,512865.0,,6.628,50.372,,59.2988583475207,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,1679728.0,,5.814,39.236,,66.7700954854424,Sub-Saharan Africa,Low income
Canada,CAN,1960,17909356.0,,3.811,71.1331707317073,,2259.25051088642,North America,High income
Switzerland,CHE,1960,5327827.0,,2.44,71.3134146341463,,1787.36034770201,Europe & Central Asia,High income
Channel Islands,CHI,1960,109186.0,,2.27,71.47,,,Europe & Central Asia,High income
Chile,CHL,1960,8141820.0,,4.697,57.015,,504.801137829134,Latin America & Caribbean,High income
China,CHN,1960,667070000.0,,4.451,33.275,,89.5205415103584,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,3708661.0,,7.691,38.108,,147.277834661078,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,5117608.0,,5.647,34.819,,120.018194242747,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1960,15276558.0,,6.08,40.857,,219.905826799928,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1960,1055693.0,,6.085,47.979,,124.782358667716,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,15687688.0,,6.735,57.13,,256.962847338565,Latin America & Caribbean,Upper middle income
Comoros,COM,1960,194852.0,,6.792,39.694,,,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1960,209849.0,,6.885,49.411,,,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1960,1346302.0,,6.712,60.415,,376.968785602974,Latin America & Caribbean,Upper middle income
Cuba,CUB,1960,7267395.0,,4.129,64.173,,,Latin America & Caribbean,Upper middle income
Curacao,CUW,1960,124826.0,,,,,,Latin America & Caribbean,High income
Cayman Islands,CYM,1960,8473.0,,,,,,Latin America & Caribbean,High income
Cyprus,CYP,1960,585725.0,,3.512,64.187,,,Europe & Central Asia,High income
Czechia,CZE,1960,9602006.0,,2.09,70.3487804878049,,,Europe & Central Asia,High income
Germany,DEU,1960,72814900.0,,2.37,69.0640731707317,,,Europe & Central Asia,High income
Djibouti,DJI,1960,85940.0,,6.828,43.429,,,Middle East & North Africa,Lower middle income
Dominica,DMA,1960,59379.0,,,,,,Latin America & Caribbean,Upper middle income
Denmark,DNK,1960,4579603.0,,2.57,72.1765853658537,,,Europe & Central Asia,High income
Dominican Republic,DOM,1960,3298021.0,,7.555,50.264,,203.879750917293,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,11394307.0,,7.503,40.532,,239.031069180472,Middle East & North Africa,Lower middle income
Ecuador,ECU,1960,4618158.0,,6.721,53.364,,448.114881825904,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1960,27034499.0,,6.794,45.373,,,Middle East & North Africa,Lower middle income
Eritrea,ERI,1960,993568.0,,6.483,37.5,,,Sub-Saharan Africa,Low income
Spain,ESP,1960,30455000.0,,2.86,69.1092682926829,,396.392253337614,Europe & Central Asia,High income
Estonia,EST,1960,1211537.0,,1.98,68.933512195122,,,Europe & Central Asia,High income
Ethiopia,ETH,1960,21739710.0,,6.88,40.33,,,Sub-Saharan Africa,Low income
Finland,FIN,1960,4429634.0,,2.72,68.819756097561,,1179.35301099994,Europe & Central Asia,High income
Fiji,FJI,1960,401841.0,,6.461,57.588,,279.534497756784,East Asia & Pacific,Upper middle income
France,FRA,1960,46649927.0,,2.85,69.8682926829268,,1333.88157286682,Europe & Central Asia,High income
Faroe Islands,FRO,1960,34154.0,,,,,,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1960,42986.0,,6.686,56.409,,,East Asia & Pacific,Lower middle income
Gabon,GAB,1960,513340.0,,4.422,46.575,,275.585339885477,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1960,52400000.0,,2.69,71.1268292682927,,1397.5948032844,Europe & Central Asia,High income
Georgia,GEO,1960,3645600.0,,2.942,61.222,,,Europe & Central Asia,Upper middle income
Ghana,GHA,1960,6911510.0,,6.847,47.096,,176.095648379861,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,1960,21822.0,,3.012,69.309,,,Europe & Central Asia,High income
Guinea,GIN,1960,3516814.0,,6.112,36.547,,,Sub-Saharan Africa,Low income
"Gambia, The",GMB,1960,399649.0,,6.246,35.098,,,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1960,577933.0,,5.921,37.464,,,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1960,267351.0,,5.653,41.729,,,Sub-Saharan Africa,Upper middle income
Greece,GRC,1960,8331725.0,,2.23,69.3,,520.322744310383,Europe & Central Asia,High income
Grenada,GRD,1960,93772.0,,6.743,60.76,,,Latin America & Caribbean,Upper middle income
Greenland,GRL,1960,32500.0,,,,,,Europe & Central Asia,High income
Guatemala,GTM,1960,4128880.0,,6.955,45.808,,252.756171165062,Latin America & Caribbean,Upper middle income
Guam,GUM,1960,72374.0,,5.906,60.897,,,East Asia & Pacific,High income
Guyana,GUY,1960,571990.0,,6.372,58.034,,297.584307778571,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,1960,3114671.0,,5.067,65.8662926829268,,424.056554189694,East Asia & Pacific,High income
Honduras,HND,1960,2078617.0,,7.458,48.317,,161.477559357977,Latin America & Caribbean,Lower middle income
Croatia,HRV,1960,4140181.0,,2.232,65.4823658536585,,,Europe & Central Asia,High income
Haiti,HTI,1960,3901139.0,,6.208,43.499,,70.0275483647212,Latin America & Caribbean,Lower middle income
Hungary,HUN,1960,9983967.0,,2.02,68.0031707317073,,,Europe & Central Asia,High income
Indonesia,IDN,1960,88382881.0,,5.547,46.452,,,East Asia & Pacific,Lower middle income
Isle of Man,IMN,1960,48793.0,,2.875,64.409,,,Europe & Central Asia,High income
India,IND,1960,445954579.0,,5.921,45.218,,83.0351018240893,South Asia,Lower middle income
Ireland,IRL,1960,2828600.0,,3.78,70.1942682926829,,685.61471237976,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1960,21388806.0,,7.301,43.957,,196.323927100171,Middle East & North Africa,Lower middle income
Iraq,IRQ,1960,7084678.0,,5.3,52.618,,237.713207937489,Middle East & North Africa,Upper middle income
Iceland,ISL,1960,175574.0,,4.29,73.7620487804878,,1414.98226940621,Europe & Central Asia,High income
Israel,ISR,1960,2114020.0,,3.866,,,1229.1747476372,Middle East & North Africa,High income
Italy,ITA,1960,50199700.0,,2.4,69.1239024390244,,804.492623346178,Europe & Central Asia,High income
Jamaica,JAM,1960,1642331.0,,5.58,64.042,,425.64542652268,Latin America & Caribbean,Upper middle income
Jordan,JOR,1960,847936.0,,7.669,52.617,,,Middle East & North Africa,Upper middle income
Japan,JPN,1960,93216000.0,,2.001,67.6660975609756,,475.319075592173,East Asia & Pacific,High income
Kazakhstan,KAZ,1960,9319283.0,,4.53,58.370512195122,,,Europe & Central Asia,Upper middle income
Kenya,KEN,1960,7751435.0,,7.632,48.68,,102.079867639744,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1960,2172300.0,,5.376,55.0830243902439,,,Europe & Central Asia,Lower middle income
Cambodia,KHM,1960,5541676.0,,6.251,42.361,,114.972955061661,East Asia & Pacific,Lower middle income
Kiribati,KIR,1960,47093.0,,6.553,47.873,,,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,1960,56660.0,,,,,218.259153052769,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1960,25012374.0,,5.949,54.320243902439,,158.274637345427,East Asia & Pacific,High income
Kuwait,KWT,1960,305415.0,,7.162,56.919,,,Middle East & North Africa,High income
Lao PDR,LAO,1960,2122532.0,,6.292,40.79,,,East Asia & Pacific,Lower middle income
Lebanon,LBN,1960,1798092.0,,5.818,64.841,,,Middle East & North Africa,Lower middle income
Liberia,LBR,1960,1137026.0,,6.391,38.33,,,Sub-Saharan Africa,Low income
Libya,LBY,1960,1426986.0,,7.373,40.268,,,Middle East & North Africa,Upper middle income
St. Lucia,LCA,1960,91614.0,,6.967,55.724,,,Latin America & Caribbean,Upper middle income
Liechtenstein,LIE,1960,16472.0,,,,,,Europe & Central Asia,High income
Sri Lanka,LKA,1960,9874476.0,,5.465,60.699,,142.779621883716,South Asia,Lower middle income
Lesotho,LSO,1960,737838.0,,5.819,50.364,,46.8657190519216,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,1960,2778550.0,,2.56,69.8473170731707,,,Europe & Central Asia,High income
Luxembourg,LUX,1960,313970.0,,2.29,68.5925365853659,,2242.0158166161,Europe & Central Asia,High income
Latvia,LVA,1960,2120979.0,,1.94,69.7868292682927,,,Europe & Central Asia,High income
"Macao SAR, China",MAC,1960,177014.0,,4.933,64.965,,,East Asia & Pacific,High income
St. Martin (French part),MAF,1960,4135.0,,5.948,67.865,,,Latin America & Caribbean,High income
Morocco,MAR,1960,11769774.0,,7.04,42.017,,172.598983764648,Middle East & North Africa,Lower middle income
Monaco,MCO,1960,21797.0,,,,,,Europe & Central Asia,High income
Moldova,MDA,1960,2074015.0,,3.328,61.074,,,Europe & Central Asia,Upper middle income
Madagascar,MDG,1960,5073342.0,,7.3,43.241,,132.670284022472,Sub-Saharan Africa,Low income
Maldives,MDV,1960,91650.0,,6.804,38.529,,,South Asia,Upper middle income
Mexico,MEX,1960,36268055.0,,6.763,55.017,,359.545059695095,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1960,15374.0,,,,,,East Asia & Pacific,Upper middle income
North Macedonia,MKD,1960,1462368.0,,3.967,56.2230487804878,,,Europe & Central Asia,Upper middle income
Mali,MLI,1960,5346792.0,,7.004,29.754,,,Sub-Saharan Africa,Low income
Malta,MLT,1960,326550.0,,3.62,68.2142926829268,,,Middle East & North Africa,High income
Myanmar,MMR,1960,21720697.0,,5.983,43.906,,,East Asia & Pacific,Lower middle income
Montenegro,MNE,1960,480579.0,,3.498,64.8736097560976,,,Europe & Central Asia,Upper middle income
Mongolia,MNG,1960,977903.0,,6.827,44.984,,,East Asia & Pacific,Lower middle income
Northern Mariana Islands,MNP,1960,8702.0,,,,,,East Asia & Pacific,High income
Mozambique,MOZ,1960,6788375.0,,6.315,41.221,,,Sub-Saharan Africa,Low income
Mauritania,MRT,1960,838478.0,,6.354,44.767,,,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,1960,676683.0,,6.167,55.4665365853659,,,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1960,3621081.0,,7.029,35.199,,45.0022357592063,Sub-Saharan Africa,Low income
Malaysia,MYS,1960,7833782.0,,6.407,56.502,,244.6126272856,East Asia & Pacific,Upper middle income
Namibia,NAM,1960,590181.0,,6.205,47.679,,,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,1960,79000.0,,6.278,58.6390243902439,,,East Asia & Pacific,High income
Niger,NER,1960,3497431.0,,7.53,36.404,,128.530590757202,Sub-Saharan Africa,Low income
Nigeria,NGA,1960,44928342.0,,6.364,37.371,,93.3952171694837,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1960,1789684.0,,7.159,46.125,,125.080554257996,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1960,11486631.0,,3.12,73.3926829268293,,1068.78458723735,Europe & Central Asia,High income
Norway,NOR,1960,3581239.0,,2.85,73.549756097561,,1441.75566002633,Europe & Central Asia,High income
Nepal,NPL,1960,10167941.0,,6.03,38.559,,49.9938398506726,South Asia,Lower middle income
Nauru,NRU,1960,4582.0,,,,,,East Asia & Pacific,High income
New Zealand,NZL,1960,2371800.0,,4.238,71.2365853658537,,2312.94999239859,East Asia & Pacific,High income
Oman,OMN,1960,536553.0,,7.247,35.45,,,Middle East & North Africa,High income
Pakistan,PAK,1960,45954226.0,,6.8,44.932,,81.5869472962009,South Asia,Lower middle income
Panama,PAN,1960,1126989.0,,5.844,60.702,,476.621422214414,Latin America & Caribbean,High income
Peru,PER,1960,10172207.0,,6.941,50.495,,252.836779873622,Latin America & Caribbean,Upper middle income
Philippines,PHL,1960,28486871.0,,7.148,59.227,,263.836861922124,East Asia & Pacific,Lower middle income
Palau,PLW,1960,9446.0,,,,,,East Asia & Pacific,Upper middle income
Papua New Guinea,PNG,1960,1985666.0,,6.018,45.679,,116.079961575218,East Asia & Pacific,Lower middle income
Poland,POL,1960,29637450.0,,2.98,67.6804878048781,,,Europe & Central Asia,High income
Puerto Rico,PRI,1960,2358000.0,,4.796,68.934,,717.514843087362,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,1960,11655666.0,,3.568,54.05,,,East Asia & Pacific,Low income
Portugal,PRT,1960,8857716.0,,3.16,64.0074634146342,,360.499298506858,Europe & Central Asia,High income
Paraguay,PRY,1960,1894829.0,,6.5,60.423,,,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,1960,,,,,,,Middle East & North Africa,Lower middle income
French Polynesia,PYF,1960,84851.0,,5.888,59.675,,,East Asia & Pacific,High income
Qatar,QAT,1960,36385.0,,6.647,58.933,,,Middle East & North Africa,High income
Romania,ROU,1960,18406905.0,,2.34,65.8605365853659,,,Europe & Central Asia,High income
Russian Federation,RUS,1960,119897000.0,,2.52,67.4652195121951,,,Europe & Central Asia,Upper middle income
Rwanda,RWA,1960,2966162.0,,8.187,47.178,,40.1191924109337,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,1960,4165563.0,,7.626,45.94,,,Middle East & North Africa,High income
Sudan,SDN,1960,8326462.0,,6.647,46.603,,116.370986938477,Sub-Saharan Africa,Low income
Senegal,SEN,1960,3273177.0,,6.996,39.878,,306.641643443704,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1960,1646400.0,,5.76,64.6946829268293,,428.058980027396,East Asia & Pacific,High income
Solomon Islands,SLB,1960,133440.0,,6.97,47.741,,,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,1960,2301310.0,,6.175,33.961,,139.924421988798,Sub-Saharan Africa,Low income
El Salvador,SLV,1960,2779327.0,,6.634,48.084,,,Latin America & Caribbean,Lower middle income
San Marino,SMR,1960,15556.0,,,,,,Europe & Central Asia,High income
Somalia,SOM,1960,2870732.0,,7.25,43.452,,62.8619936573756,Sub-Saharan Africa,Low income
Serbia,SRB,1960,6608000.0,,,,,,Europe & Central Asia,Upper middle income
South Sudan,SSD,1960,2907724.0,,6.721,28.662,,,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,1960,68038.0,,6.242,43.04,,,Sub-Saharan Africa,Lower middle income
Suriname,SUR,1960,268396.0,,6.608,57.102,,371.279750815958,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1960,4068095.0,,3.04,70.2697804878049,,,Europe & Central Asia,High income
Slovenia,SVN,1960,1584720.0,,2.185,68.9780487804878,,,Europe & Central Asia,High income
Sweden,SWE,1960,7484656.0,,2.17,73.0056097560976,,2114.00297269192,Europe & Central Asia,High income
Eswatini,SWZ,1960,345065.0,,6.752,45.813,,101.650872956778,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,1960,2646.0,,,,,,Latin America & Caribbean,High income
Seychelles,SYC,1960,41700.0,,,,,288.057842014677,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1960,4610712.0,,7.485,53.547,,186.02428722675,Middle East & North Africa,Low income
Turks and Caicos Islands,TCA,1960,5604.0,,5.79,55.032,,,Latin America & Caribbean,High income
Chad,TCD,1960,3028688.0,,6.25,38.374,,103.537482047172,Sub-Saharan Africa,Low income
Togo,TGO,1960,1651367.0,,6.717,42.692,,73.3501838864542,Sub-Saharan Africa,Low income
Thailand,THA,1960,26596584.0,,6.248,51.035,,103.800829154836,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1960,2131992.0,,6.547,53.628,,,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,1960,1602052.0,,6.59,53.469,,,Europe & Central Asia,Upper middle income
Timor-Leste,TLS,1960,468573.0,,6.319,32.2,,,East Asia & Pacific,Lower middle income
Tonga,TON,1960,67428.0,,6.885,58.231,,,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1960,847063.0,,5.345,63.026,,632.385227248664,Latin America & Caribbean,High income
Tunisia,TUN,1960,4195467.0,,6.942,43.94,,,Middle East & North Africa,Lower middle income
Turkiye,TUR,1960,27510980.0,,6.383,50.74,,508.290613248863,Europe & Central Asia,Upper middle income
Tuvalu,TUV,1960,5404.0,,4.778,46.355,,,East Asia & Pacific,Upper middle income
Tanzania,TZA,1960,10042458.0,,6.725,42.937,,,Sub-Saharan Africa,Lower middle income
Uganda,UGA,1960,7617746.0,,6.936,45.506,,55.5293371220614,Sub-Saharan Africa,Low income
Ukraine,UKR,1960,42767251.0,,2.24,69.4850487804878,,,Europe & Central Asia,Lower middle income
Uruguay,URY,1960,2529021.0,,2.827,67.772,,491.213492970179,Latin America & Caribbean,High income
United States,USA,1960,180671000.0,,3.654,69.7707317073171,,3007.12344537862,North America,High income
Uzbekistan,UZB,1960,8372311.0,,6.613,57.473,,,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,1960,84141.0,,7.286,56.443,,155.293587890388,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1960,8156937.0,,6.358,58.647,,953.677944195341,Latin America & Caribbean,
British Virgin Islands,VGB,1960,7850.0,,5.162,59.564,,,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,1960,32500.0,,5.445,63.7459756097561,,,Latin America & Caribbean,High income
Vietnam,VNM,1960,32718461.0,,6.28,59.657,,,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1960,64608.0,,6.863,49.63,,,East Asia & Pacific,Lower middle income
Samoa,WSM,1960,113335.0,,7.646,54.688,,,East Asia & Pacific,Lower middle income
Kosovo,XKX,1960,947000.0,,6.359,61.485,,,Europe & Central Asia,Upper middle income
"Yemen, Rep.",YEM,1960,5542459.0,,7.938,33.678,,,Middle East & North Africa,Low income
South Africa,ZAF,1960,16520441.0,,6.159,52.669,,529.561922967783,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1960,3119430.0,,7.115,49.042,,228.567398531142,Sub-Saharan Africa,Low income
Zimbabwe,ZWE,1960,3806310.0,,7.22,53.235,,276.643363257328,Sub-Saharan Africa,Lower middle income
Aruba,ABW,1961,55811.0,,4.655,64.537,,,Latin America & Caribbean,High income
Afghanistan,AFG,1961,8790140.0,,7.284,33.068,,62.4437034626929,South Asia,Low income
Angola,AGO,1961,5441333.0,,6.79,37.267,,,Sub-Saharan Africa,Lower middle income
Albania,ALB,1961,1659800.0,,6.353,55.634,,,Europe & Central Asia,Upper middle income
Andorra,AND,1961,10216.0,,,,,,Europe & Central Asia,High income
United Arab Emirates,ARE,1961,140984.0,,6.678,49.695,,,Middle East & North Africa,High income
Argentina,ARG,1961,20680653.0,,3.069,64.36,,,Latin America & Caribbean,Upper middle income
Armenia,ARM,1961,1971530.0,,4.67,61.803,,,Europe & Central Asia,Upper middle income
American Samoa,ASM,1961,20626.0,,,,,,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,1961,56245.0,,4.559,62.363,,,Latin America & Caribbean,High income
Australia,AUS,1961,10483000.0,,3.54,70.9731707317073,,1877.50980321541,East Asia & Pacific,High income
Austria,AUT,1961,7086299.0,,2.78,69.5773170731707,,1031.8150043291,Europe & Central Asia,High income
Azerbaijan,AZE,1961,4045750.0,,5.937,56.192,,,Europe & Central Asia,Upper middle income
Burundi,BDI,1961,2815972.0,,7.023,43.252,,72.0887821327769,Sub-Saharan Africa,Low income
Belgium,BEL,1961,9183948.0,,2.63,70.5209756097561,,1350.19767333123,Europe & Central Asia,High income
Benin,BEN,1961,2551216.0,,6.402,38.542,,92.3748606272395,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1961,4852833.0,,6.286,36.24,,72.1737667702228,Sub-Saharan Africa,Low income
Bangladesh,BGD,1961,51882769.0,,6.831,45.662,,92.8551092483432,South Asia,Lower middle income
Bulgaria,BGR,1961,7943118.0,,2.29,70.1956097560976,,,Europe & Central Asia,Upper middle income
Bahrain,BHR,1961,166970.0,,7.123,52.112,,,Middle East & North Africa,High income
"Bahamas, The",BHS,1961,120216.0,,4.866,63.185,,1581.30397963404,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1961,3325333.0,,3.826,61.856,,,Europe & Central Asia,Upper middle income
Belarus,BLR,1961,8271216.0,,2.59,69.7383902439024,,,Europe & Central Asia,Upper middle income
Belize,BLZ,1961,93757.0,,6.48,53.356,,319.59609109278,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1961,45500.0,,,,,1961.5381691712,North America,High income
Bolivia,BOL,1961,3784744.0,,6.335,43.4,,107.45365755763,Latin America & Caribbean,Lower middle income
Brazil,BRA,1961,75330008.0,,6.044,53.183,,229.336766423598,Latin America & Caribbean,Upper middle income
Barbados,BRB,1961,233698.0,,4.313,65.318,,,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1961,89561.0,,6.771,57.817,,,East Asia & Pacific,High income
Bhutan,BTN,1961,227071.0,,6.698,33.946,,,South Asia,Lower middle income
Botswana,BWA,1961,524403.0,,6.597,50.891,,62.7424645639824,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1961,1710364.0,,5.828,39.737,,71.9932040592957,Sub-Saharan Africa,Low income
Canada,CAN,1961,18271000.0,,3.753,71.3460975609756,,2240.43303945853,North America,High income
Switzerland,CHE,1961,5434294.0,,2.52,71.6448780487805,,1971.31632279228,Europe & Central Asia,High income
Channel Islands,CHI,1961,110225.0,,2.377,69.747,,,Europe & Central Asia,High income
Chile,CHL,1961,8313535.0,,4.655,57.537,,554.484617281009,Latin America & Caribbean,High income
China,CHN,1961,660330000.0,,3.863,40.468,,75.8058379259965,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1961,3848336.0,,7.72,38.744,,160.652718271321,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1961,5200355.0,,5.705,35.406,,125.525586934668,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1961,15673284.0,,6.107,40.239,,196.943209677235,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1961,1083431.0,,6.093,48.697,,139.995753454191,Sub-Saharan Africa,Lower middle income
Colombia,COL,1961,16182414.0,,6.712,57.73,,280.579137401505,Latin America & Caribbean,Upper middle income
Comoros,COM,1961,198617.0,,6.849,40.147,,,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1961,214788.0,,6.922,49.953,,,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1961,1396138.0,,6.651,60.901,,351.201085862769,Latin America & Caribbean,Upper middle income
Cuba,CUB,1961,7418518.0,,4.265,64.512,,,Latin America & Caribbean,Upper middle income
Curacao,CUW,1961,126125.0,,,,,,Latin America & Caribbean,High income
Cayman Islands,CYM,1961,8626.0,,,,,,Latin America & Caribbean,High income
Cyprus,CYP,1961,594771.0,,3.619,64.804,,,Europe & Central Asia,High income
Czechia,CZE,1961,9586651.0,,2.11,70.5126829268293,,,Europe & Central Asia,High income
Germany,DEU,1961,73377632.0,,2.45,69.6448780487805,,,Europe & Central Asia,High income
Djibouti,DJI,1961,89270.0,,6.829,43.721,,,Middle East & North Africa,Lower middle income
Dominica,DMA,1961,60395.0,,,,,,Latin America & Caribbean,Upper middle income
Denmark,DNK,1961,4611687.0,,2.55,72.4382926829268,,,Europe & Central Asia,High income
Dominican Republic,DOM,1961,3408415.0,,7.487,50.84,,191.907440848606,Latin America & Caribbean,Upper middle income
Algeria,DZA,1961,11598608.0,,7.564,40.516,,209.915476909729,Middle East & North Africa,Lower middle income
Ecuador,ECU,1961,4751507.0,,6.7,53.895,,369.114560234365,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1961,27747867.0,,6.779,46.024,,,Middle East & North Africa,Lower middle income
Eritrea,ERI,1961,1016932.0,,6.474,37.974,,,Sub-Saharan Africa,Low income
Spain,ESP,1961,30739250.0,,2.77,69.4804878048781,,450.053289246968,Europe & Central Asia,High income
Estonia,EST,1961,1225077.0,,1.98,68.9621219512195,,,Europe & Central Asia,High income
Ethiopia,ETH,1961,22281675.0,,6.877,40.995,,,Sub-Saharan Africa,Low income
Finland,FIN,1961,4461005.0,,2.72,68.8441463414634,,1327.427224366,Europe & Central Asia,High income
Fiji,FJI,1961,414534.0,,6.281,58.199,,282.215173939264,East Asia & Pacific,Upper middle income
France,FRA,1961,47161641.0,,2.87,70.1170731707317,,1430.43462423276,Europe & Central Asia,High income
Faroe Islands,FRO,1961,34572.0,,,,,,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1961,44563.0,,6.697,57.11,,,East Asia & Pacific,Lower middle income
Gabon,GAB,1961,519329.0,,4.504,47.228,,322.797125694508,Sub-Saharan Africa,Upper middle income
