T_degC,Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
18.984,33.6745,5.782,2,34.0,4.0,20.0,17.5,,,,
17.15,33.253,5.57,10,3699.0,14.0,16.0,13.0,,,,
8.57,33.889,3.38,250,4060.0,7.0,19.9,17.3,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
7.298,34.2638,0.595,381,1741.0,4.0,17.6,15.1,,,,
14.695,33.3075,5.562,41,73.0,16.0,16.1,13.2,,,,
8.52,33.96,2.63,230,3607.0,18.0,17.6,15.5,,,,
16.701,33.41,5.59,10,3831.0,27.0,17.1,16.0,Partly Cloudy,Stratus,9/10 or more but not 10/10,2km to 4km
15.9,33.315,5.87,50,4031.0,12.0,16.5,13.6,,,,
13.73,33.525,5.68,0,59.0,4.0,13.1,12.2,Clear,,Zero,Less than 50m
16.119,33.5364,5.915,17,63.0,4.0,20.5,17.0,Clear,,Zero,10km to 20km
14.05,33.362,6.39,15,26.0,4.0,21.2,11.8,Partly Cloudy,Cirrostratus,1/10 or less but not zero,20km to 50km
9.567,33.7614,3.547,169,4191.0,20.0,16.2,15.7,,,,
8.54,34.203,1.44,321,607.0,3.0,15.2,13.7,,,,
8.05,34.047,2.44,300,4233.0,9.0,19.3,17.9,,,,
12.97,33.024,6.22,11,4077.0,25.0,13.4,10.5,Partly Cloudy,Altostratus,4/10,10km to 20km
7.22,34.075,1.94,318,4120.0,13.0,14.4,12.4,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
14.29,33.326,5.77,10,776.0,21.0,14.0,13.1,,,,
16.603,33.4086,5.724,15,68.0,5.0,17.8,14.2,Clear,,Zero,20km to 50km
14.18,33.322,5.44,61,3828.0,11.0,17.2,16.0,,,,
7.21,34.199,1.11,400,1203.0,13.0,13.2,12.8,,,,
10.92,33.668,3.33,68,354.0,5.0,14.2,12.8,,,,
7.891,34.1123,1.526,250,2921.0,7.0,12.8,10.9,Partly Cloudy,Stratus,7/10 to 8/10,2km to 4km
18.12,33.276,5.54,20,4040.0,6.0,17.6,16.0,,,,
5.961,34.1215,0.812,440,4270.0,5.0,16.0,14.9,,,,
9.5,34.002,2.43,93,104.0,15.0,16.2,14.3,Clear,,,20km to 50km
14.94,33.098,5.99,61,3824.0,22.0,19.9,17.5,Partly Cloudy,Altocumulus,4/10,10km to 20km
10.92,33.357,5.35,96,3697.0,7.0,17.8,14.8,,,,
12.8,33.564,5.31,150,4072.0,8.0,18.7,15.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
10.48,33.781,2.93,75,1691.0,12.0,14.2,12.0,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
17.98,33.519,5.57,50,4128.0,8.0,18.0,16.0,Partly Cloudy,Cumulus,2/10 to 3/10,20km to 50km
15.47,33.165,5.77,17,4001.0,20.0,15.9,13.9,Partly Cloudy,Altocumulus,1/10 or less but not zero,10km to 20km
14.06,33.437,5.94,41,4040.0,7.0,16.0,13.5,Partly Cloudy,Cirrus,2/10 to 3/10,10km to 20km
17.139,33.3644,5.715,40,335.0,26.0,18.8,16.2,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
7.15,34.037,2.32,324,4114.0,7.0,17.0,15.8,,,,
7.197,34.0862,1.462,320,4025.0,24.0,14.7,12.4,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
8.76,33.909,3.06,200,4131.0,15.0,20.0,18.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
7.1,34.078,1.78,300,1382.0,13.0,14.1,12.9,,,,
9.978,33.4916,4.425,75,728.0,10.0,15.0,14.2,,,,
6.98,34.266,0.61,400,1334.0,8.0,17.1,16.2,,,,
8.84,34.029,2.38,150,3978.0,20.0,13.5,11.5,Partly Cloudy,Altostratus,7/10 to 8/10,2km to 4km
15.66,33.326,6.35,32,626.0,5.0,21.7,20.6,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
13.6,33.106,6.08,0,4346.0,10.0,13.8,12.9,,,,
11.11,33.33,4.52,84,1323.0,9.0,15.0,13.0,Continuous blowing snow,Stratus,10/10,10km to 20km
17.45,33.492,6.99,0,18.0,14.0,18.5,17.2,Partly Cloudy,Altostratus,5/10,4km to 10km
6.47,34.267,0.06,571,580.0,7.0,15.7,14.5,,,,
10.97,33.681,3.42,10,106.0,8.0,15.7,14.9,,,,
10.07,33.373,4.52,70,3975.0,4.0,18.5,16.9,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
14.72,33.22,5.75,0,27.0,3.0,15.7,13.0,Partly Cloudy,Stratocumulus,2/10 to 3/10,20km to 50km
7.27,34.085,1.47,271,4058.0,17.0,16.4,15.1,,,,
16.92,33.5,6.11,0,37.0,5.0,15.1,15.1,,,,
12.46,33.556,4.29,41,56.0,21.0,15.4,14.0,,,,
7.41,34.12,1.45,269,4181.0,3.0,17.4,15.5,,,,
9.382,34.047,1.815,150,774.0,18.0,12.7,11.6,,,,
8.51,34.203,1.55,268,613.0,7.0,18.4,15.7,,,,
6.88,34.2,0.95,388,1317.0,24.0,16.0,14.8,Partly Cloudy,Cirrus,4/10,10km to 20km
15.28,32.74,,0,,15.0,16.1,13.1,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
11.02,33.606,4.77,30,2227.0,20.0,14.5,13.2,Partly Cloudy,Cumulus,1/10 or less but not zero,4km to 10km
12.44,33.69,3.66,125,575.0,22.0,16.0,13.5,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
16.52,33.569,5.86,10,1202.0,10.0,15.2,13.5,,,,
10.74,33.57,3.26,60,606.0,4.0,18.3,17.1,,,,
5.19,34.4,0.13,781,792.0,4.0,12.7,10.2,Continuous blowing snow,Stratus,9/10 or more but not 10/10,10km to 20km
10.94,33.096,5.52,86,4201.0,20.0,14.7,13.0,,,,
11.39,33.707,5.09,50,170.0,5.0,,,Clear,,Zero,20km to 50km
12.72,33.184,5.44,102,4022.0,17.0,14.0,12.8,Partly Cloudy,Stratus,7/10 to 8/10,10km to 20km
14.21,33.162,6.12,2,27.0,3.0,14.4,12.9,Clear,,Zero,10km to 20km
8.46,33.904,3.01,140,724.0,12.0,17.1,14.6,,,,
7.27,34.012,2.5,271,883.0,8.0,15.1,15.0,,,,
12.25,33.246,6.94,0,199.0,7.0,13.2,11.8,Partly Cloudy,Altocumulus,4/10,4km to 10km
19.968,33.5691,5.862,5,31.0,6.0,18.8,17.8,,,,
13.22,33.608,5.64,105,3640.0,25.0,16.3,13.0,Partly Cloudy,Cumulus,9/10 or more but not 10/10,10km to 20km
11.78,33.594,4.95,110,1465.0,11.0,18.0,15.7,,,,
7.01,34.078,1.35,300,4418.0,15.0,17.5,16.0,,,,
12.76,33.59,5.82,20,80.0,11.0,15.8,13.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
8.02,34.167,1.46,269,738.0,18.0,12.0,10.5,,,,
15.66,33.746,5.38,114,3626.0,8.0,19.1,16.6,,,,
9.12,33.8,3.83,203,4014.0,17.0,17.3,16.4,Partly Cloudy,Altocumulus,9/10 or more but not 10/10,10km to 20km
9.0,34.298,1.08,250,612.0,5.0,17.6,16.7,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
9.28,33.671,3.52,125,3918.0,18.0,16.2,15.8,Continuous blowing snow,Stratus,10/10,2km to 4km
14.1,33.444,6.31,2,1689.0,7.0,20.1,17.2,Clear,,Zero,10km to 20km
12.58,33.323,6.0,2,74.0,25.0,12.0,10.1,Partly Cloudy,Stratocumulus,7/10 to 8/10,4km to 10km
11.65,33.489,4.06,52,56.0,12.0,20.0,18.8,Clear,,Zero,10km to 20km
17.39,33.321,,10,4187.0,17.0,17.2,15.2,,,,
16.68,33.601,5.8,1,612.0,4.0,16.8,14.1,Partly Cloudy,Stratus,2/10 to 3/10,10km to 20km
6.5,34.059,1.61,319,3800.0,7.0,15.0,14.3,Partly Cloudy,Cirrostratus,7/10 to 8/10,4km to 10km
8.464,33.9715,2.655,170,2184.0,19.0,13.7,12.4,Continuous blowing snow,Stratus,10/10,1km to 2km
18.411,33.4192,6.211,10,132.0,6.0,19.8,18.9,,,,
18.83,33.676,5.48,2,2108.0,21.0,17.1,16.0,,,,
13.82,33.154,5.87,50,4017.0,12.0,17.8,17.2,,,,
6.5,34.09,1.4,400,4156.0,5.0,19.5,18.0,,,,
10.62,33.638,3.41,85,2813.0,16.0,16.0,12.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
16.55,33.026,5.76,10,3738.0,20.0,17.1,16.2,,,,
16.74,33.571,5.76,10,1072.0,17.0,18.0,16.1,Partly Cloudy,Cirrus,1/10 or less but not zero,20km to 50km
16.971,33.0724,5.621,40,4273.0,14.0,18.0,16.9,,,,
13.95,33.34,6.7,20,626.0,1.0,20.1,19.0,Partly Cloudy,Stratus,5/10,10km to 20km
11.25,32.81,5.66,109,4205.0,2.0,17.1,11.9,Partly Cloudy,Stratocumulus,2/10 to 3/10,20km to 50km
8.681,33.9712,2.602,150,568.0,19.0,14.2,13.1,Clear,,Zero,4km to 10km
5.45,34.219,0.42,500,3870.0,8.0,17.5,13.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
10.235,33.669,3.423,70,98.0,9.0,19.2,17.5,Partly Cloudy,Stratocumulus,5/10,20km to 50km
16.93,32.996,5.64,33,4352.0,16.0,17.9,15.9,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
9.85,33.614,3.89,100,3802.0,4.0,15.6,15.0,,,,
7.28,34.168,1.23,318,563.0,18.0,11.5,8.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
14.97,33.62,5.93,0,1427.0,3.0,14.2,11.8,Partly Cloudy,Stratocumulus,4/10,10km to 20km
8.32,34.299,0.58,300,3762.0,3.0,14.7,12.5,Partly Cloudy,Stratus,1/10 or less but not zero,10km to 20km
9.92,33.794,3.4,145,3819.0,23.0,17.9,16.9,,,,
13.36,33.283,6.42,15,21.0,5.0,13.2,11.0,,,,
18.69,33.18,5.59,0,3973.0,21.0,20.9,18.9,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
11.838,33.3161,5.288,125,3836.0,12.0,15.1,12.7,Partly Cloudy,Altocumulus,5/10,10km to 20km
7.45,34.06,1.88,272,3852.0,4.0,18.7,16.4,Continuous blowing snow,Stratus,9/10 or more but not 10/10,10km to 20km
10.65,33.415,4.12,70,1648.0,4.0,14.9,13.8,,,,
11.14,33.629,4.33,50,1789.0,17.0,14.7,13.2,Partly Cloudy,Stratocumulus,5/10,10km to 20km
6.648,34.1273,0.93,400,4227.0,11.0,15.0,14.0,,,,
15.21,33.51,6.19,20,37.0,5.0,16.4,15.2,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
7.93,34.062,1.97,300,4162.0,2.0,18.0,16.0,,,,
10.67,33.362,4.28,71,3803.0,10.0,14.2,13.3,Fog,Stratus,10/10,500m to 1km
8.41,34.031,2.5,199,3659.0,15.0,16.9,15.0,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
18.53,33.394,,1,4036.0,17.0,19.1,17.3,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
6.98,34.233,0.82,400,832.0,10.0,15.8,14.9,Partly Cloudy,Cumulus,6/10,10km to 20km
18.21,33.311,5.89,20,335.0,10.0,21.2,20.5,,,,
10.54,33.798,3.05,69,301.0,6.0,18.5,16.1,,,,
12.08,33.524,4.41,50,70.0,4.0,12.0,11.4,,,,
9.16,34.102,1.58,170,236.0,6.0,19.0,16.0,Partly Cloudy,Cirrostratus,5/10,20km to 50km
7.12,34.269,0.63,377,1183.0,12.0,14.2,13.0,,,,
9.548,33.4374,4.315,120,4300.0,19.0,16.0,14.0,Continuous blowing snow,Stratus,10/10,4km to 10km
16.01,33.331,5.71,10,3616.0,12.0,15.5,12.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
11.928,33.2089,5.529,100,4096.0,5.0,16.0,14.0,Partly Cloudy,Stratocumulus,5/10,20km to 50km
12.93,33.243,5.56,50,988.0,24.0,13.8,11.4,,,,
9.124,33.8239,3.074,150,867.0,16.0,14.7,13.2,Continuous blowing snow,Stratus,10/10,4km to 10km
11.995,33.25,4.982,68,334.0,2.0,19.3,16.3,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,10km to 20km
13.9,33.44,5.64,0,233.0,12.0,13.9,13.0,Continuous blowing snow,Altostratus,10/10,4km to 10km
17.79,33.07,5.53,25,4168.0,8.0,17.0,14.5,,,,
5.66,34.206,0.52,510,3819.0,12.0,15.5,14.0,Partly Cloudy,Cirrocumulus,9/10 or more but not 10/10,20km to 50km
7.92,34.035,2.32,231,4276.0,10.0,15.3,14.8,,,,
8.47,33.896,3.36,198,3946.0,11.0,16.7,14.7,Partly Cloudy,Cirrostratus,7/10 to 8/10,10km to 20km
7.77,33.94,3.22,250,3877.0,11.0,17.1,17.1,Drizzle,Stratus,10/10,200m to 500m
6.2,34.101,1.17,437,4065.0,18.0,16.3,13.8,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
12.18,33.56,5.06,2,22.0,17.0,13.6,12.0,Clear,,Zero,10km to 20km
8.375,34.2144,1.24,300,1729.0,2.0,13.9,10.2,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
15.91,33.32,5.73,35,3966.0,17.0,14.9,13.6,Continuous blowing snow,Cirrocumulus,2/10 to 3/10,4km to 10km
11.84,33.734,3.94,30,68.0,2.0,12.5,12.0,,,,
10.459,33.7069,3.867,75,1337.0,14.0,13.0,11.8,Partly Cloudy,Stratocumulus,5/10,2km to 4km
16.643,33.1859,,12,3651.0,7.0,18.0,17.5,Partly Cloudy,Stratocumulus,1/10 or less but not zero,10km to 20km
6.693,34.2756,0.426,440,1316.0,12.0,12.7,11.1,,,,
6.02,34.213,0.63,500,3984.0,7.0,17.3,16.1,,,,
18.38,33.404,5.46,40,4035.0,13.0,19.2,16.5,Partly Cloudy,Cirrostratus,4/10,20km to 50km
12.56,33.232,5.52,61,3930.0,30.0,14.5,12.5,Partly Cloudy,Cirrus,1/10 or less but not zero,4km to 10km
8.72,33.922,2.71,200,3983.0,17.0,17.5,15.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
14.61,33.5033,6.509,1,583.0,10.0,12.8,11.8,,,,
18.12,33.161,5.6,20,4225.0,5.0,19.0,17.3,,,,
14.03,33.549,6.14,30,604.0,11.0,18.3,17.7,Partly Cloudy,Stratocumulus,4/10,20km to 50km
12.485,33.0607,5.781,87,4272.0,19.0,13.6,10.7,Partly Cloudy,Stratocumulus,4/10,20km to 50km
13.63,33.516,6.08,10,37.0,0.0,18.3,15.5,Partly Cloudy,Stratus,4/10,20km to 50km
11.4,33.568,4.41,66,1273.0,6.0,15.2,13.6,Partly Cloudy,Altostratus,4/10,10km to 20km
8.986,33.9486,2.456,170,3991.0,13.0,16.9,15.0,,,,
10.55,33.575,3.66,85,3807.0,9.0,13.8,11.7,Partly Cloudy,Stratocumulus,4/10,20km to 50km
11.905,33.5052,4.988,70,1351.0,12.0,17.1,16.0,Continuous blowing snow,Stratus,10/10,4km to 10km
16.723,33.4676,5.572,10,3995.0,17.0,15.1,13.8,Continuous blowing snow,Stratus,10/10,10km to 20km
7.843,33.9934,2.505,230,4032.0,9.0,19.4,18.2,Partly Cloudy,Stratus,5/10,10km to 20km
12.885,33.0502,5.328,69,4086.0,17.0,14.5,12.0,Partly Cloudy,Cumulus,5/10,10km to 20km
14.22,33.15,5.95,30,3798.0,20.0,13.5,13.1,Continuous blowing snow,Stratus,10/10,4km to 10km
7.66,34.289,0.71,400,853.0,10.0,18.3,16.2,Clear,,Zero,20km to 50km
6.72,34.07,1.7,326,3642.0,21.0,17.0,16.1,Continuous blowing snow,Stratus,10/10,4km to 10km
11.53,33.548,4.23,123,313.0,8.0,17.5,13.8,,,,
12.34,33.567,4.81,21,82.0,11.0,15.0,13.3,,,,
13.32,33.32,4.96,50,61.0,6.0,14.3,13.2,Fog,Stratus,1/10 or less but not zero,4km to 10km
14.717,33.5077,4.817,20,25.0,7.0,17.5,13.9,Partly Cloudy,Cumulus,1/10 or less but not zero,20km to 50km
12.836,33.4599,4.449,30,37.0,5.0,20.0,18.1,,,,
10.55,33.309,5.02,150,4000.0,12.0,18.0,15.4,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
6.582,34.242,0.001,514,578.0,9.0,15.2,12.3,Partly Cloudy,Cirrostratus,2/10 to 3/10,10km to 20km
20.15,33.616,5.51,10,623.0,7.0,19.9,19.0,,,,
16.31,33.661,5.87,20,4023.0,12.0,16.1,15.5,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
16.04,33.506,5.69,45,834.0,10.0,16.0,15.0,,,,
16.09,33.269,5.73,41,4012.0,8.0,15.5,13.2,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
6.4,34.317,0.31,500,760.0,15.0,12.0,9.5,Clear,,Zero,20km to 50km
6.447,34.296,0.36,516,977.0,19.0,14.0,12.1,Clear,,Zero,10km to 20km
12.81,33.245,5.54,10,72.0,1.0,12.5,11.0,,,,
16.99,32.995,5.73,11,3794.0,13.0,16.3,15.6,,,,
9.84,33.576,4.01,85,232.0,16.0,16.3,14.6,Clear,,Zero,20km to 50km
9.65,33.591,3.87,138,4181.0,0.0,14.7,12.0,,,,
13.23,33.414,5.46,32,762.0,14.0,18.8,17.9,Clear,,Zero,10km to 20km
9.951,34.1723,1.727,200,1452.0,18.0,15.0,12.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,4km to 10km
13.96,33.624,6.99,0,1079.0,8.0,14.9,13.7,Fog,Stratus,5/10,4km to 10km
13.348,33.5515,5.971,24,74.0,31.0,12.3,9.2,Clear,,Zero,20km to 50km
6.84,34.276,0.55,400,1642.0,16.0,12.2,10.6,,,,
17.451,33.3568,5.569,50,4078.0,11.0,19.0,15.9,Partly Cloudy,Stratocumulus,1/10 or less but not zero,20km to 50km
15.681,33.1157,5.768,40,4111.0,12.0,15.2,14.2,,,,
16.249,33.3084,5.591,20,25.0,6.0,19.0,18.1,,,,
17.149,33.4081,,10,54.0,1.0,19.0,18.0,Partly Cloudy,Stratus,4/10,10km to 20km
10.238,33.5531,3.603,100,3299.0,14.0,14.0,13.1,,,,
16.604,33.3773,5.623,75,4196.0,11.0,14.7,11.4,,,,
11.4,33.089,5.58,122,3886.0,25.0,12.3,10.5,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
15.93,33.43,5.63,0,74.0,16.0,16.4,14.1,,,,
18.42,33.207,5.6,21,,7.0,21.1,20.2,Continuous blowing snow,Altostratus,10/10,4km to 10km
9.055,33.8023,3.011,125,3042.0,4.0,13.0,11.3,,,,
9.46,33.882,2.9,70,77.0,8.0,17.4,16.8,Partly Cloudy,Stratocumulus,5/10,4km to 10km
15.857,33.2833,6.404,2,18.0,15.0,16.4,13.9,Partly Cloudy,Cirrostratus,6/10,10km to 20km
7.74,34.046,2.35,268,4068.0,22.0,13.4,9.9,Partly Cloudy,Altocumulus,5/10,10km to 20km
5.9,34.3,0.38,516,1199.0,16.0,17.1,16.2,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
18.99,33.405,5.44,40,4227.0,5.0,20.0,17.9,Partly Cloudy,Stratocumulus,5/10,10km to 20km
9.977,33.7039,3.547,120,566.0,17.0,14.7,13.6,Clear,,Zero,20km to 50km
15.44,33.461,5.56,49,66.0,4.0,13.1,11.4,Rain,Stratocumulus,10/10,10km to 20km
16.03,33.48,5.71,0,4233.0,14.0,14.5,13.4,,,,
14.91,33.609,5.34,125,3850.0,8.0,17.0,13.1,Partly Cloudy,Cirrostratus,4/10,20km to 50km
8.83,34.016,2.51,199,635.0,1.0,20.1,18.9,,,,
13.043,33.3215,5.291,50,1486.0,16.0,16.1,14.4,,,,
8.97,33.871,3.27,200,4205.0,9.0,19.5,19.0,Partly Cloudy,Stratocumulus,4/10,20km to 50km
10.61,33.778,3.14,100,1171.0,12.0,13.1,12.9,,,,
9.02,34.106,1.79,150,3799.0,3.0,16.7,15.6,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
12.14,33.517,4.92,50,1186.0,8.0,18.6,17.2,Partly Cloudy,Cirrus,2/10 to 3/10,20km to 50km
14.38,33.346,5.97,20,4271.0,10.0,14.5,11.8,,,,
14.39,33.173,5.91,30,1243.0,21.0,16.0,14.3,Partly Cloudy,Cirrus,5/10,10km to 20km
9.49,33.257,5.24,99,3993.0,6.0,12.5,11.2,Partly Cloudy,Altocumulus,7/10 to 8/10,10km to 20km
8.2,33.944,2.86,197,3914.0,16.0,15.2,12.9,Partly Cloudy,Stratocumulus,5/10,4km to 10km
6.68,34.2772,0.43,440,1721.0,14.0,16.0,13.1,,,,
6.1,34.301,0.32,521,,4.0,17.5,16.3,,,,
