Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
33.5338,4.447,20,71.0,45.0,16.0,14.7,Partly Cloudy,Cirrocumulus,1/10 or less but not zero,20km to 50km
34.0005,2.297,320,4299.0,14.0,19.1,17.0,,,,
33.976,2.57,378,4486.0,14.0,15.3,12.0,Continuous blowing snow,Altostratus,10/10,10km to 20km
33.391,4.69,61,3945.0,21.0,15.4,14.1,Partly Cloudy,Cirrostratus,6/10,20km to 50km
33.975,3.32,229,2154.0,2.0,17.5,16.2,,,,
33.396,6.1,30,633.0,6.0,14.9,14.6,Continuous blowing snow,Stratus,10/10,10km to 20km
33.83,2.92,191,4288.0,5.0,16.8,15.3,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.999,3.2,250,4192.0,21.0,14.9,12.0,Partly Cloudy,Stratocumulus,6/10,20km to 50km
34.271,0.82,378,694.0,11.0,15.2,11.6,Continuous blowing snow,Stratus,10/10,4km to 10km
34.306,0.41,500,643.0,9.0,20.0,17.7,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
34.092,1.64,250,4259.0,8.0,14.8,12.0,,,,
33.753,3.42,100,1705.0,3.0,19.3,17.9,Partly Cloudy,Cirrus,1/10 or less but not zero,10km to 20km
33.1797,6.123,10,50.0,7.0,15.0,13.8,,,,
33.616,,30,,16.0,17.5,16.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
34.243,0.73,400,1314.0,18.0,13.7,11.2,,,,
32.878,5.45,20,3833.0,12.0,16.1,15.8,,,,
34.1943,1.597,200,1150.0,20.0,15.6,12.0,Partly Cloudy,Stratus,6/10,10km to 20km
34.222,0.61,377,581.0,7.0,14.8,11.7,Partly Cloudy,Cirrocumulus,5/10,10km to 20km
33.44,5.91,2,3828.0,11.0,13.3,10.9,Partly Cloudy,Cumulus,4/10,20km to 50km
34.11,1.35,318,4173.0,8.0,14.0,11.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.69,3.57,46,79.0,5.0,19.1,21.0,Partly Cloudy,Cirrostratus,5/10,4km to 10km
33.074,,11,4179.0,29.0,13.9,12.2,,,,
33.566,4.16,75,1699.0,14.0,18.2,16.3,Clear,,Zero,10km to 20km
33.388,5.13,109,4174.0,6.0,17.3,14.3,,,,
33.428,5.47,20,63.0,3.0,19.3,15.8,Partly Cloudy,Altocumulus,5/10,20km to 50km
34.299,0.37,500,4025.0,15.0,15.0,13.8,,,,
33.784,4.23,20,65.0,12.0,11.9,10.7,Partly Cloudy,Cirrostratus,1/10 or less but not zero,20km to 50km
33.4966,5.457,10,4145.0,14.0,17.5,17.0,,,,
34.107,1.81,169,1191.0,4.0,19.5,15.2,Clear,,Zero,20km to 50km
34.3138,0.291,500,1486.0,1.0,19.2,17.2,Partly Cloudy,Stratocumulus,5/10,20km to 50km
33.359,3.91,41,696.0,6.0,16.0,14.2,,,,
33.061,5.83,20,875.0,8.0,17.7,17.6,Clear,,Zero,10km to 20km
33.528,5.6,30,613.0,21.0,15.8,14.2,,,,
33.504,3.96,24,54.0,10.0,15.2,12.8,Continuous blowing snow,Stratus,10/10,4km to 10km
34.237,0.84,300,563.0,11.0,15.1,14.1,,,,
33.556,5.73,30,113.0,18.0,19.0,17.9,Partly Cloudy,Stratocumulus,1/10 or less but not zero,4km to 10km
33.985,2.68,144,987.0,14.0,13.3,10.8,,,,
33.7266,5.723,60,4033.0,3.0,18.2,15.1,Continuous blowing snow,Stratocumulus,10/10,50km or more
33.5338,5.828,20,19.0,4.0,13.0,12.2,,,,
33.206,6.03,61,3609.0,5.0,12.5,12.6,Rain,Stratus,10/10,4km to 10km
33.638,5.91,10,108.0,5.0,14.2,13.5,Fog,,10/10,2km to 4km
34.161,0.56,516,4513.0,11.0,12.0,11.9,Partly Cloudy,Altostratus,4/10,10km to 20km
33.478,4.55,100,4216.0,4.0,14.7,12.2,Partly Cloudy,Altostratus,6/10,20km to 50km
33.567,6.0,10,1702.0,18.0,13.8,12.3,,,,
33.842,2.62,120,679.0,5.0,15.1,13.1,,,,
33.377,5.18,66,770.0,22.0,17.1,15.1,Partly Cloudy,Cirrostratus,2/10 to 3/10,20km to 50km
33.092,6.1,65,4159.0,18.0,17.1,15.7,,,,
34.174,2.0,150,846.0,3.0,14.5,14.0,,,,
34.205,1.68,228,1181.0,11.0,17.7,15.0,,,,
33.437,7.08,0,67.0,6.0,18.0,16.2,,,,
33.324,5.65,31,70.0,13.0,14.2,14.1,,,,
33.42,5.58,20,66.0,7.0,22.8,21.5,Partly Cloudy,Stratus,1/10 or less but not zero,20km to 50km
33.988,2.7,200,3799.0,3.0,14.3,12.4,Partly Cloudy,Stratocumulus,6/10,10km to 20km
34.159,0.8,439,4003.0,20.0,17.0,14.9,,,,
33.553,4.38,150,4124.0,12.0,16.8,15.3,,,,
33.0351,7.323,0,91.0,11.0,14.5,14.3,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.474,4.79,75,611.0,14.0,17.9,16.9,,,,
34.2928,0.325,516,2332.0,1.0,16.5,14.2,Clear,,Zero,10km to 20km
33.995,2.5,232,3581.0,17.0,16.0,15.0,Continuous blowing snow,Stratus,10/10,4km to 10km
33.715,3.18,60,71.0,12.0,16.6,16.0,Partly Cloudy,Cirrocumulus,5/10,20km to 50km
33.41,5.91,59,4015.0,4.0,14.2,13.0,,,,
34.28,1.33,250,866.0,4.0,17.3,15.2,,,,
33.549,3.85,125,3635.0,10.0,14.1,12.2,Partly Cloudy,Stratus,6/10,10km to 20km
33.315,5.12,20,872.0,2.0,15.9,14.5,,,,
33.447,4.26,144,3665.0,9.0,19.9,18.2,Partly Cloudy,Altostratus,7/10 to 8/10,10km to 20km
33.815,2.4,150,4252.0,6.0,17.8,16.4,Partly Cloudy,Stratocumulus,5/10,20km to 50km
33.995,2.92,268,3871.0,20.0,21.8,20.6,Partly Cloudy,Stratocumulus,1/10 or less but not zero,20km to 50km
33.237,5.15,124,4006.0,11.0,16.0,14.2,,,,
33.92,3.75,228,4018.0,12.0,14.8,11.0,,,,
33.207,4.58,59,614.0,6.0,15.5,14.3,,,,
33.97,2.25,100,1641.0,5.0,19.8,17.3,,,,
34.015,,376,4179.0,,22.4,20.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
33.3785,5.685,75,4241.0,21.0,12.9,9.9,,,,
33.981,2.99,198,3822.0,14.0,13.2,11.1,,,,
33.9638,2.585,125,629.0,2.0,17.7,16.1,,,,
34.2509,1.055,320,1168.0,15.0,15.0,13.8,,,,
33.985,2.63,174,608.0,8.0,15.4,14.0,,,,
34.092,1.84,318,1591.0,7.0,15.3,14.3,,,,
33.241,5.09,75,3792.0,14.0,15.6,14.2,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
34.212,,500,3568.0,7.0,13.0,11.6,,,,
34.194,1.16,377,1317.0,16.0,22.0,21.0,Partly Cloudy,Stratocumulus,4/10,10km to 20km
33.968,2.95,250,3632.0,33.0,13.5,11.5,,,,
33.78,3.63,150,3165.0,19.0,16.9,14.9,,,,
33.7981,2.734,100,3053.0,11.0,12.1,11.5,Continuous blowing snow,Stratus,10/10,10km to 20km
33.501,7.05,10,32.0,11.0,13.0,13.0,Fog,Stratus,10/10,50m to 200m
34.2413,1.161,300,977.0,9.0,14.9,13.1,,,,
33.297,5.11,20,28.0,4.0,20.0,16.6,Clear,,Zero,20km to 50km
34.066,1.16,438,4227.0,10.0,15.5,13.7,,,,
33.996,2.37,100,161.0,1.0,13.0,12.0,Partly Cloudy,Cirrostratus,6/10,10km to 20km
33.206,5.93,7,930.0,11.0,18.5,17.0,Continuous blowing snow,Stratus,10/10,10km to 20km
33.963,2.14,100,4023.0,14.0,14.9,13.7,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.2563,5.726,36,89.0,20.0,14.0,13.0,Continuous blowing snow,Stratus,10/10,2km to 4km
34.1161,1.682,231,1645.0,6.0,21.8,19.9,Clear,,Zero,10km to 20km
34.0605,1.779,300,4159.0,12.0,17.2,16.4,,,,
33.399,5.75,10,30.0,5.0,22.0,20.6,,,,
33.8573,2.697,75,408.0,12.0,12.5,10.3,Partly Cloudy,Cirrostratus,7/10 to 8/10,20km to 50km
33.231,5.19,100,3812.0,14.0,13.9,11.2,,,,
34.207,0.51,514,4211.0,5.0,14.8,12.0,Continuous blowing snow,Stratus,5/10,20km to 50km
33.402,9.09,1,23.0,4.0,17.9,15.2,Partly Cloudy,Altostratus,5/10,10km to 20km
33.918,2.66,70,153.0,7.0,14.2,12.0,,,,
33.424,6.14,20,4012.0,12.0,12.8,11.3,,,,
33.643,3.31,41,103.0,8.0,16.9,16.1,,,,
33.557,4.11,50,1040.0,15.0,13.5,13.0,,,,
33.041,5.71,112,4142.0,10.0,17.0,14.9,,,,
33.419,5.5,50,1654.0,4.0,15.4,14.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.48,5.67,0,2126.0,13.0,15.0,13.6,,,,
33.36,6.62,0,17.0,7.0,16.8,16.1,,,,
34.3205,0.291,500,1927.0,17.0,18.3,16.0,,,,
34.285,0.36,500,1402.0,14.0,18.0,16.9,,,,
33.156,5.72,75,3611.0,7.0,20.0,18.0,Partly Cloudy,Altocumulus,9/10 or more but not 10/10,10km to 20km
33.4691,5.863,15,180.0,17.0,19.0,17.5,Partly Cloudy,Stratus,4/10,10km to 20km
34.223,0.47,528,,22.0,16.1,14.1,Partly Cloudy,Cumulus,7/10 to 8/10,10km to 20km
34.154,1.48,198,1651.0,10.0,15.5,13.6,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
33.2552,5.496,100,3929.0,16.0,16.4,15.2,,,,
33.86,3.08,141,1617.0,22.0,14.9,13.4,,,,
33.576,5.673,2,25.0,7.0,16.1,14.0,Partly Cloudy,Stratus,5/10,10km to 20km
33.37,4.48,50,1661.0,23.0,12.5,10.0,,,,
34.32,0.3,556,1879.0,19.0,18.0,16.2,Clear,,Zero,10km to 20km
33.4667,5.536,10,669.0,4.0,18.9,17.6,,,,
34.097,1.67,250,4233.0,7.0,16.0,14.0,,,,
33.4031,6.608,0,35.0,3.0,16.0,14.0,Partly Cloudy,Cirrostratus,1/10 or less but not zero,10km to 20km
34.171,0.57,517,4121.0,10.0,16.0,16.0,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
34.085,1.36,440,4017.0,21.0,12.9,11.8,Drizzle,Stratocumulus,10/10,4km to 10km
34.058,2.29,228,1161.0,14.0,20.2,18.0,Clear,,Zero,10km to 20km
34.211,0.72,523,560.0,17.0,15.5,15.2,Fog,Stratus,10/10,Less than 50m
33.1306,5.695,50,4227.0,3.0,18.0,16.7,Partly Cloudy,Cirrostratus,6/10,20km to 50km
33.9842,2.42,150,4036.0,20.0,16.1,15.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.59,5.98,0,1019.0,7.0,11.3,9.9,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
33.233,6.13,10,1323.0,14.0,15.1,13.5,Clear,,Zero,20km to 50km
33.507,5.176,5,38.0,1.0,12.9,10.9,,,,
33.413,6.26,0,30.0,8.0,15.8,15.7,Fog,Stratus,10/10,10km to 20km
33.995,2.89,300,4133.0,15.0,20.6,18.3,Continuous blowing snow,Cirrus,1/10 or less but not zero,50km or more
33.6925,6.095,0,18.0,10.0,23.2,20.7,Partly Cloudy,Altocumulus,2/10 to 3/10,20km to 50km
34.285,0.26,675,3992.0,23.0,17.6,16.1,,,,
34.269,0.68,438,2190.0,9.0,17.0,16.0,Partly Cloudy,Altocumulus,9/10 or more but not 10/10,10km to 20km
33.21,5.8,1,4150.0,24.0,17.0,15.9,Partly Cloudy,Cirrostratus,2/10 to 3/10,10km to 20km
33.987,2.04,70,91.0,11.0,11.8,11.2,,,,
33.472,4.01,100,1661.0,5.0,18.0,15.0,,,,
34.021,2.74,250,3860.0,18.0,12.2,10.2,Partly Cloudy,Stratocumulus,6/10,10km to 20km
33.459,6.09,30,1294.0,16.0,13.1,11.9,Partly Cloudy,Stratocumulus,4/10,20km to 50km
33.2901,6.019,20,1314.0,19.0,16.6,13.2,Partly Cloudy,Cirrostratus,2/10 to 3/10,20km to 50km
33.38,5.78,0,62.0,13.0,14.5,11.9,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.358,6.14,0,1634.0,5.0,15.0,11.2,Partly Cloudy,Stratocumulus,4/10,4km to 10km
33.1555,6.105,0,948.0,7.0,15.4,14.7,,,,
33.361,6.64,28,1166.0,7.0,20.1,18.8,Partly Cloudy,Stratus,7/10 to 8/10,4km to 10km
33.7235,3.089,120,966.0,11.0,14.5,13.5,Partly Cloudy,Stratocumulus,4/10,1km to 2km
34.141,0.65,522,4178.0,20.0,16.9,16.2,,,,
33.35,5.47,59,66.0,18.0,13.3,12.4,,,,
33.3243,6.23,24,1671.0,1.0,17.5,14.1,Partly Cloudy,Cirrostratus,1/10 or less but not zero,20km to 50km
34.1734,0.496,500,4188.0,9.0,16.0,14.2,Partly Cloudy,Stratus,7/10 to 8/10,10km to 20km
33.199,5.56,16,4098.0,9.0,17.6,14.9,,,,
33.405,4.89,11,79.0,9.0,17.0,16.2,Continuous blowing snow,Stratus,10/10,20km to 50km
33.364,6.35,20,1616.0,7.0,18.5,17.7,,,,
33.589,6.17,10,59.0,2.0,19.0,18.2,,,,
33.386,5.93,21,75.0,3.0,15.1,14.9,,,,
33.0569,5.562,100,3132.0,6.0,16.8,15.2,,,,
34.2175,0.426,515,4083.0,13.0,19.0,16.0,Continuous blowing snow,Stratus,10/10,20km to 50km
33.397,4.61,31,27.0,16.0,14.2,11.1,Clear,,Zero,20km to 50km
33.668,,30,1159.0,12.0,14.4,13.9,Continuous blowing snow,Stratus,10/10,2km to 4km
33.245,5.87,65,3817.0,9.0,21.6,18.8,Partly Cloudy,Stratocumulus,4/10,20km to 50km
33.067,6.29,60,4120.0,15.0,17.2,15.0,,,,
33.042,6.01,75,4002.0,6.0,13.6,10.2,Continuous blowing snow,Cirrus,10/10,2km to 4km
33.342,5.78,75,4201.0,6.0,14.0,11.1,,,,
33.691,3.75,164,4596.0,10.0,17.0,16.0,Continuous blowing snow,Stratus,10/10,4km to 10km
33.5721,6.578,0,28.0,3.0,18.0,15.4,Partly Cloudy,Cumulus,1/10 or less but not zero,20km to 50km
33.9893,2.358,200,3631.0,20.0,15.0,12.5,,,,
34.1105,1.343,319,3644.0,7.0,13.1,9.9,Clear,,Zero,10km to 20km
33.546,4.02,100,1680.0,7.0,15.9,14.1,,,,
