Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Wartortle,-0.2510884334080163,-0.40200903810450217,-0.4933012811679198,0.1975837201936097,-0.23913030200278262,0.29115635499949677,-0.35388031061858816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Blastoise,0.791551020989526,0.3817297957777972,0.12327715010203703,0.839349762235379,0.37245614813221184,1.1900645210985918,0.3347702573572582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BlastoiseMega Blastoise,1.6256625845075598,0.3817297957777972,0.7398555813719939,1.4811158042771484,1.9014222734696982,1.5496277875382298,0.3347702573572582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Caterpie,-2.0027227167958874,-0.9506262218221118,-1.5106556927633488,-1.2463898744003714,-1.6151998148065203,-1.8662232436383315,-0.8015031798028882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metapod,-1.919311560444084,-0.754691513351537,-1.8189449083983271,-0.604623832358602,-1.4623032022727716,-1.6864416104185125,-1.3179911057847729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butterfree,-0.3344995897598197,-0.3628220964103872,-1.0482218693108811,-0.7650653428690443,0.5253527606659605,0.29115635499949677,0.059310030166919644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weedle,-2.0027227167958874,-1.1465609302926867,-1.3565110849458595,-1.4068313849108136,-1.6151998148065203,-1.8662232436383315,-0.6293405378089266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kakuna,-1.919311560444084,-0.9506262218221118,-1.6648003005808378,-0.7650653428690443,-1.4623032022727716,-1.6864416104185125,-1.1458284637908114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Beedrill,-0.3344995897598197,-0.16688738793981236,0.33907960104652196,-1.085948363889929,-0.8507167521377771,0.29115635499949677,0.23147267216088122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BeedrillMega Beedrill,0.49961197375821415,-0.16688738793981236,2.188814894856393,-1.085948363889929,-1.7680964273402688,0.29115635499949677,2.6417496600763433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pidgey,-1.5356202412257884,-1.1465609302926867,-1.0482218693108811,-1.085948363889929,-1.1565099772052745,-1.3268783439788745,-0.42274536741617275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pidgeotto,-0.7181909089781152,-0.24526127132804232,-0.5857880458584134,-0.604623832358602,-0.6978201396040286,-0.7875334443194173,0.09374255856571197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pidgeot,0.36615412359532873,0.538477562554257,0.030790385411543508,0.037142209683167365,-0.08623368946903401,-0.06840691144014126,1.1267184105294814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PidgeotMega Pidgeot,1.2002656871133626,0.538477562554257,0.030790385411543508,0.1975837201936097,1.9014222734696982,0.29115635499949677,1.8153689785053277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rattata,-1.5189380099554277,-1.5384303472338363,-0.7091037321124047,-1.2463898744003714,-1.4623032022727716,-1.3268783439788745,0.12817508696450428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Raticate,-0.1843595083265736,-0.558756804880962,0.06161930697504135,-0.44418232184815964,-0.6978201396040286,-0.06840691144014126,0.9889882969343121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Spearow,-1.4438679692388048,-1.1465609302926867,-0.5857880458584134,-1.4068313849108136,-1.2788272672322734,-1.4707036505547295,0.059310030166919644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fearow,0.057532845093656214,-0.16688738793981236,0.33907960104652196,-0.2837408113377173,-0.36144759202978155,-0.3920138512358155,1.0922858821306891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ekans,-1.2269989627241158,-1.3424956387632614,-0.5857880458584134,-0.9575951554815751,-1.0036133646715257,-0.6437081377435622,-0.4571778958149651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Arbok,0.02416838255293486,-0.3628220964103872,0.18493499322903273,-0.15538760292936343,-0.23913030200278262,0.25520002835553296,0.4036353141548428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pikachu,-0.9600832623983451,-1.3424956387632614,-0.7399326536759026,-1.085948363889929,-0.6978201396040286,-0.7875334443194173,0.7479605981427659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raichu,0.41620081740641074,-0.3628220964103872,0.33907960104652196,-0.604623832358602,0.5253527606659605,0.29115635499949677,1.4366111661186123,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandshrew,-1.1269055751019519,-0.754691513351537,-0.12335422240594572,0.358025230704052,-1.6151998148065203,-1.5066599771986935,-0.9736658217968498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandslash,0.12426177017509892,0.22498202900133732,0.6473688166815004,1.1602327832562638,-0.8507167521377771,-0.6077518110995983,-0.11285261182704193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nidoran♀,-1.3354334659814604,-0.558756804880962,-0.9865640261838854,-0.7008887386648673,-1.0036133646715257,-1.1470967107590553,-0.9392332933980575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nidorina,-0.5847330588152299,0.029047320530762477,-0.5241302027314176,-0.21956420713354038,-0.5449235270702799,-0.6077518110995983,-0.42274536741617275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nidoqueen,0.5830231301100175,0.8127861544130619,0.40073744417351764,0.422201834908229,0.06666292306471461,0.4709379882193158,0.26590520055967354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nidoran♂,-1.352115697251821,-0.9114392801279968,-0.6782748105489069,-1.085948363889929,-1.0036133646715257,-1.1470967107590553,-0.6293405378089266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nidorino,-0.5847330588152299,-0.32363515471627224,-0.21584098709643926,-0.540447228154425,-0.5449235270702799,-0.6077518110995983,-0.11285261182704193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nidoking,0.5830231301100175,0.4601036791660271,0.7090266598084961,0.1013188138873443,0.37245614813221184,0.11137472177967776,0.5757979561488044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Clefairy,-0.9350599154928041,0.029047320530762477,-1.0482218693108811,-0.8292419470732213,-0.39202691453653127,-0.2481885446599603,-1.1458284637908114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clefable,0.39951858613605007,1.0087208628836368,-0.2774988302234349,-0.02703439452100957,0.6782493731997091,0.6507196214391349,-0.2850152538210035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulpix,-1.1352466907371321,-1.2249348136809166,-1.1715375555648724,-1.085948363889929,-0.6978201396040286,-0.2481885446599603,-0.11285261182704193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ninetales,0.5830231301100175,0.1466081456131074,-0.09252530084244787,0.037142209683167365,0.25013885810521297,1.0102828878787729,1.0922858821306891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jigglypuff,-1.3771390441573619,1.792459696765936,-1.0482218693108811,-1.7277144059316982,-0.8507167521377771,-1.6864416104185125,-1.662316389772696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Wigglytuff,-0.0008549643526061554,2.7721332391188103,-0.2774988302234349,-0.9255068533794867,0.37245614813221184,-0.7875334443194173,-0.8015031798028882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zubat,-1.5856669350368704,-1.1465609302926867,-1.0482218693108811,-1.2463898744003714,-1.309406589739023,-1.1470967107590553,-0.4571778958149651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Golbat,0.1659673483510006,0.22498202900133732,0.030790385411543508,-0.12329930082727497,-0.23913030200278262,0.11137472177967776,0.7479605981427659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oddish,-0.9600832623983451,-0.9506262218221118,-0.8940772614933918,-0.604623832358602,0.06666292306471461,-0.2481885446599603,-1.3179911057847729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gloom,-0.3344995897598197,-0.3628220964103872,-0.43164343804092414,-0.12329930082727497,0.37245614813221184,0.11137472177967776,-0.9736658217968498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vileplume,0.45790639558231244,0.22498202900133732,0.030790385411543508,0.358025230704052,1.136939210800955,0.6507196214391349,-0.6293405378089266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Paras,-1.252022309629657,-1.3424956387632614,-0.2774988302234349,-0.604623832358602,-0.8507167521377771,-0.6077518110995983,-1.4901537477787345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parasect,-0.2510884334080163,-0.3628220964103872,0.4932242088640112,0.1975837201936097,-0.39202691453653127,0.29115635499949677,-1.3179911057847729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venonat,-1.0851999969260502,-0.3628220964103872,-0.7399326536759026,-0.7650653428690443,-1.0036133646715257,-0.6077518110995983,-0.8015031798028882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Venomoth,0.12426177017509892,0.029047320530762477,-0.43164343804092414,-0.44418232184815964,0.5253527606659605,0.11137472177967776,0.7479605981427659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Diglett,-1.4188446223332636,-2.3221691811161356,-0.7399326536759026,-1.567272895421256,-1.1565099772052745,-0.9673150775392364,0.9201232401367275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dugtrio,-0.2510884334080163,-1.3424956387632614,0.030790385411543508,-0.7650653428690443,-0.6978201396040286,-0.06840691144014126,1.7809364501065355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meowth,-1.2103167314537553,-1.1465609302926867,-1.0482218693108811,-1.2463898744003714,-1.0036133646715257,-1.1470967107590553,0.7479605981427659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Persian,0.04085061382329554,-0.16688738793981236,-0.2774988302234349,-0.44418232184815964,-0.23913030200278262,-0.2481885446599603,1.6087738081125738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Psyduck,-0.9600832623983451,-0.754691513351537,-0.8324194183663961,-0.8292419470732213,-0.23913030200278262,-0.7875334443194173,-0.4571778958149651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Golduck,0.5413175519341158,0.42091673747191216,0.09244822853853919,0.13340711598943278,0.6782493731997091,0.29115635499949677,0.5757979561488044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mankey,-1.0851999969260502,-1.1465609302926867,0.030790385411543508,-1.2463898744003714,-1.1565099772052745,-0.9673150775392364,0.059310030166919644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primeape,0.1659673483510006,-0.16688738793981236,0.8015134244989897,-0.44418232184815964,-0.39202691453653127,-0.06840691144014126,0.9201232401367275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Growlithe,-0.709849793342935,-0.558756804880962,-0.2774988302234349,-0.9255068533794867,-0.08623368946903401,-0.7875334443194173,-0.2850152538210035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcanine,1.0000789118690345,0.8127861544130619,0.9556580323164788,0.1975837201936097,0.8311459857334578,0.29115635499949677,0.9201232401367275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poliwag,-1.1269055751019519,-1.1465609302926867,-0.8940772614933918,-1.085948363889929,-1.0036133646715257,-1.1470967107590553,0.7479605981427659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Poliwhirl,-0.4179107461116231,-0.16688738793981236,-0.43164343804092414,-0.2837408113377173,-0.6978201396040286,-0.7875334443194173,0.7479605981427659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Poliwrath,0.6247287082859192,0.8127861544130619,0.4932242088640112,0.6789082517249367,-0.08623368946903401,0.6507196214391349,0.059310030166919644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Abra,-1.0434944187501485,-1.7343650557044112,-1.8189449083983271,-1.8881559164421406,0.9840425982672063,-0.6077518110995983,0.7479605981427659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kadabra,-0.292794011583918,-1.1465609302926867,-1.3565110849458595,-1.4068313849108136,1.4427324358684521,-0.06840691144014126,1.2644485241246506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alakazam,0.5413175519341158,-0.558756804880962,-0.8940772614933918,-0.9255068533794867,1.9014222734696982,0.8305012546589539,1.7809364501065355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AlakazamMega Alakazam,1.2920179591003462,-0.558756804880962,-0.8940772614933918,-0.2837408113377173,3.124595173739687,0.8305012546589539,2.813912302070305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Machop,-1.0851999969260502,0.029047320530762477,0.030790385411543508,-0.7650653428690443,-1.1565099772052745,-1.3268783439788745,-1.1458284637908114,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machoke,-0.2510884334080163,0.42091673747191216,0.6473688166815004,-0.12329930082727497,-0.6978201396040286,-0.4279701778797793,-0.8015031798028882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machamp,0.5830231301100175,0.8127861544130619,1.5722364635864357,0.1975837201936097,-0.23913030200278262,0.4709379882193158,-0.4571778958149651,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bellsprout,-1.1269055751019519,-0.754691513351537,-0.12335422240594572,-1.2463898744003714,-0.08623368946903401,-1.5066599771986935,-0.9736658217968498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Weepinbell,-0.3762051679357214,-0.16688738793981236,0.33907960104652196,-0.7650653428690443,0.37245614813221184,-0.9673150775392364,-0.4571778958149651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Victreebel,0.45790639558231244,0.42091673747191216,0.8015134244989897,-0.2837408113377173,0.8311459857334578,-0.06840691144014126,0.059310030166919644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tentacool,-0.83496652787064,-1.1465609302926867,-1.2023664771283702,-1.2463898744003714,-0.6978201396040286,1.0102828878787729,0.059310030166919644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Tentacruel,0.6664342864618209,0.42091673747191216,-0.2774988302234349,-0.2837408113377173,0.21955953559846322,1.729409420758049,1.0922858821306891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Geodude,-1.1269055751019519,-1.1465609302926867,0.030790385411543508,0.839349762235379,-1.309406589739023,-1.5066599771986935,-1.662316389772696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Graveler,-0.3762051679357214,-0.558756804880962,0.4932242088640112,1.320674293766706,-0.8507167521377771,-0.9673150775392364,-1.1458284637908114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Golem,0.49961197375821415,0.42091673747191216,1.2639472479514573,1.801998825298033,-0.5449235270702799,-0.2481885446599603,-0.8015031798028882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ponyta,-0.2093828552321146,-0.754691513351537,0.18493499322903273,-0.604623832358602,-0.23913030200278262,-0.2481885446599603,0.7479605981427659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapidash,0.5413175519341158,-0.16688738793981236,0.6473688166815004,-0.12329930082727497,0.21955953559846322,0.29115635499949677,1.2644485241246506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slowpoke,-1.0017888405742468,0.8127861544130619,-0.43164343804092414,-0.2837408113377173,-1.0036133646715257,-1.1470967107590553,-1.8344790317666577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Slowbro,0.45790639558231244,1.0087208628836368,-0.12335422240594572,1.1602327832562638,0.8311459857334578,0.29115635499949677,-1.3179911057847729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
SlowbroMega Slowbro,1.2920179591003462,1.0087208628836368,-0.12335422240594572,3.4064139304024565,1.7485256609359494,0.29115635499949677,-1.3179911057847729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Magnemite,-0.9183776842224434,-1.7343650557044112,-1.3565110849458595,-0.12329930082727497,0.6782493731997091,-0.6077518110995983,-0.8015031798028882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Magneton,0.24937850470280398,-0.754691513351537,-0.5857880458584134,0.6789082517249367,1.4427324358684521,-0.06840691144014126,0.059310030166919644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Farfetch'd,-0.6931675620725742,-0.676317629963307,-0.43164343804092414,-0.604623832358602,-0.4531855595500307,-0.3560575245918517,-0.2850152538210035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Doduo,-1.0434944187501485,-1.3424956387632614,0.18493499322903273,-0.9255068533794867,-1.1565099772052745,-1.3268783439788745,0.23147267216088122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dodrio,0.2076729265269023,-0.3628220964103872,0.9556580323164788,-0.12329930082727497,-0.39202691453653127,-0.4279701778797793,1.0922858821306891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Seel,-0.9183776842224434,-0.16688738793981236,-1.0482218693108811,-0.604623832358602,-0.8507167521377771,-0.06840691144014126,-0.8015031798028882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
